dataset,Method,PLM,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward transfer,backward transfer,forgetting,time
clinc150,joint,albert,0,0,0.01,0,0,0.02,0.01,0.01,0.01,2,1.84,1.7,1.57,1.47,94.58,0,94.58,0,4.67
clinc150,joint,bert,0,0,0,0,0.01,0.01,0.1,0.09,0.11,0.1,0.09,0.09,0.9,0.85,95.69,0,94.69,0,5.8
clinc150,joint,gpt2,0,0,0,0.69,0.58,0.49,0.43,0.38,0.35,0.31,0.29,0.27,0.25,0.23,95.18,0,95.18,0,3.92
clinc150,joint,roberta,0.03,0.02,0.03,0.02,0.02,0.07,0.36,0.37,0.33,0.31,0.28,0.26,0.25,0.24,96.31,0,93.31,0,3.47
clinc150,joint,xlnet,0.22,0.19,0.37,0.4,0.33,0.29,0.44,0.4,0.36,0.33,0.3,0.28,0.26,0.24,95.64,0,93.64,0,4.97
,,,,,,,,,,,,,,,,,,,,,
clinc150,vanilla,albert,95.33,48.33,32.22,23.58,18.07,15.22,13.76,12.04,10.67,9.73,8.91,8.17,7.31,6.83,6.04,-0.6,-95.48,95.48,1.06
clinc150,vanilla,bert,95.33,52.5,35.22,35.17,24.53,20.17,23.52,18.71,16.07,15.83,14.88,15.89,16.72,15.02,15.09,-0.86,-88.48,88.48,1.1
clinc150,vanilla,gpt2,96,52.67,34.89,26.75,25.13,18.78,17.67,13.87,17.04,13.83,11.52,13.61,13.31,8.69,9.78,-0.71,-93.19,93.19,1.13
clinc150,vanilla,roberta,98.33,53.33,34.67,29.08,29.53,22.28,24.81,15.58,11.67,17.6,16.94,16.17,11.9,14.33,14.89,-0.9,-88.74,88.74,1.14
clinc150,vanilla,xlnet,95.33,50,34.56,36.42,22.53,18.94,18.43,14,13.7,11.2,11.67,10.47,10.62,9.21,8.53,-0.74,-95.21,95.21,1.64
,,,,,,,,,,,,,,,,,,,,,
clinc150,er,albert,94.33,92.67,87.22,87.33,86.07,81.61,80.62,75.38,76.85,74.87,72.06,68.06,65.38,63.86,63.07,-0.52,-34.69,34.69,0.9
clinc150,er,bert,95.33,95,92.44,92.75,92.4,90.39,89.9,88.25,86.96,85.03,83.94,84.22,82.72,82.71,82.13,-0.86,-16.43,16.43,0.98
clinc150,er,gpt2,94.67,92,89,91.33,89.47,88.61,86.38,86.5,84.89,80.97,81.45,81.36,81.51,77.24,74.47,-0.71,-23.74,23.74,0.95
clinc150,er,roberta,97.33,96.5,93.33,94.42,94.13,93.5,93.33,92,90.48,88.97,88.67,87.03,88.21,85.79,83.04,-0.9,-15.6,15.6,0.99
clinc150,er,xlnet,95.33,93.33,90.44,91.58,91.87,90.22,88.71,86.46,84.63,83.8,79.82,77.19,76.49,72.64,72.22,-0.74,-27.02,27.02,1.22
,,,,,,,,,,,,,,,,,,,,,
clinc150,ewc,albert,94.67,51.5,29.67,24.33,19,4.33,7.95,6.92,10.59,9.93,8.85,7.92,7.26,6.86,6.29,-0.6,-84.14,84.14,0.64
clinc150,ewc,bert,96.67,56.33,34.44,34.42,25.13,18.17,20.67,15.58,12.15,12.9,12.48,10.78,9.51,10.48,12.11,-0.86,-91.57,91.57,0.68
clinc150,ewc,gpt2,94.33,52.5,35.22,34,25.87,16.89,18.62,13.96,14.63,13.4,11.42,10.06,11.74,7.69,9.76,-0.71,-93.36,93.36,0.78
clinc150,ewc,roberta,98,54,34.44,24.83,23.6,22.28,18.76,13.71,13.3,13.07,13.36,15.11,9.95,10.81,11.2,-0.9,-93.19,93.19,0.67
clinc150,ewc,xlnet,96.33,51.5,34.89,33.75,26.07,20.06,18.71,15.75,12.48,11.07,12.94,11.31,12.08,12.24,10.2,-0.74,-93.05,93.05,0.92
,,,,,,,,,,,,,,,,,,,,,
clinc150,derpp,albert,94.33,93.5,91.11,90.75,88.93,88.56,86.48,85.92,84.44,82.17,81.85,80.22,75.59,74.07,73.24,-0.6,-23.95,23.95,1.36
clinc150,derpp,bert,96.67,95.83,94.56,94.5,94.47,93.61,93.76,93.79,93.3,91.93,91.09,89.64,89.46,88.64,86.29,-0.86,-12.1,12.1,1.41
clinc150,derpp,gpt2,94.67,93.67,91.56,92.5,92.8,91.17,90.86,89.17,89.93,87.93,88.3,86.69,86.87,84.93,83.67,-0.71,-13.57,13.6,1.44
clinc150,derpp,roberta,98,96.17,93.33,94.42,94.87,93.06,93.52,93.17,92.11,91.23,89.61,87.22,86.44,86.07,83.62,-0.9,-15.33,15.33,1.44
clinc150,derpp,xlnet,97,95,92.33,93.67,93.4,91.83,90.95,90.79,89.74,86.7,86.58,84.17,83.15,80.36,78.67,-0.74,-20.1,20.1,1.98
,,,,,,,,,,,,,,,,,,,,,
