dataset,Method,PLM,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,forward transfer,backward transfer,forgetting,time
maven,joint,albert,0,0,0,0.01,0,0,0.02,0.01,0.01,0.01,2,1.84,1.7,1.57,1.47,83.28,0,81.49,0,3.17
maven,joint,bert,0,0,0,0,0,0.01,0.01,0.1,0.09,0.11,0.1,0.09,0.09,0.9,0.85,99.81,0,98.97,0,3.27
maven,joint,gpt2,0,0,0,0,0.69,0.58,0.49,0.43,0.38,0.35,0.31,0.29,0.27,0.25,0.23,93.39,0,93.02,0,3.31
maven,joint,roberta,0.05,0.03,0.02,0.03,0.02,0.02,0.07,0.36,0.37,0.33,0.31,0.28,0.26,0.25,0.24,99.46,0,99.21,0,3.31
maven,joint,xlnet,0,0.22,0.19,0.37,0.4,0.33,0.29,0.44,0.4,0.36,0.33,0.3,0.28,0.26,0.24,99.69,0,99.45,0,4.52
,,,,,,,,,,,,,,,,,,,,,,
maven,vanilla,albert,100,50,33.33,25,20,16.67,14.29,12.5,11.11,10,9.09,8.33,7.69,7.14,6.67,6.25,-1.34,-100,100,3
maven,vanilla,bert,99.96,50,33.33,25.06,20.2,19.51,18.68,12.75,12.19,10.71,9.15,9.51,8.03,7.53,8.39,7.62,-0.85,-98.49,98.49,3.15
maven,vanilla,gpt2,99.3,53.8,39.95,25.09,19.98,16.58,14.27,12.69,11.97,10.18,9.09,8.33,7.84,8.45,6.98,6.27,-0.04,-99.57,99.57,2.42
maven,vanilla,roberta,99.84,50,36.22,26.9,21.5,19.33,15.37,14.66,11.29,12.24,9.31,8.89,7.91,8.87,6.92,7,-0.56,-99.11,99.11,2.7
maven,vanilla,xlnet,99.92,50.27,35.67,25.5,21,17.86,17.13,13.65,15.66,14.07,10.77,9.13,9.72,8.76,8.21,6.4,-0.28,-99.75,99.75,3.29
,,,,,,,,,,,,,,,,,,,,,,
maven,er,albert,99.71,90.44,81.09,78.57,65.85,60.75,59.93,57.8,53.57,49.49,47.41,42.89,44.27,42.77,35.77,36.56,-0.28,-67.59,67.59,4.11
maven,er,bert,99.9,94.82,90.03,82.62,82.1,78.12,76.75,71.03,71.82,66.73,66.55,69.18,57.73,56.79,55.95,57.06,-0.44,-45.75,45.75,3.18
maven,er,gpt2,99.31,95.74,90.3,84.16,82.37,77.61,74.91,78.06,69.7,68.54,65.87,58.9,60.08,55.07,55.58,50.17,-0.38,-52.48,52.48,4.3
maven,er,roberta,99.75,94.61,91.28,89.14,82.46,84.62,75.49,73.47,69.58,67.96,63.96,61.38,60.91,57.42,57,52.35,-0.38,-50.71,50.71,3.27
maven,er,xlnet,99.84,91.82,90.1,88.26,81.65,78.22,73.67,76.66,72.5,66.46,64.76,63.43,61.61,56.19,54.46,53.26,-0.36,-49.75,49.75,4.08
,,,,,,,,,,,,,,,,,,,,,,
maven,ewc,albert,99.65,47.95,32.99,24.59,19.91,16.61,14,12.43,11.08,9.94,9.02,8.31,7.65,7.12,6.6,6.21,-0.09,-99.03,99.03,2.4
maven,ewc,bert,99.8,49.9,34.69,25.08,20.9,19.63,15.76,13.83,12.77,10.86,10.38,12.07,8.08,7.63,7.05,6.85,-0.51,-99.21,99.21,2.51
maven,ewc,gpt2,97.5,49.93,33.07,26.48,19.81,16.68,14.29,12.67,11.11,10.21,9.04,8.32,7.7,7.2,6.62,6.26,-1.7,-99.3,99.3,2.49
maven,ewc,roberta,99.78,49.91,33.36,26.26,20.17,18.62,16.04,13.93,12.54,11.34,12.04,10.53,9.68,7.85,7.09,6.85,-0.59,-99.26,99.26,2.53
maven,ewc,xlnet,99.84,52.43,38.56,33.43,22.3,25.17,23.11,16.81,16.99,16.78,9.55,9.92,7.91,7.53,7.69,8.98,-1.09,-97.03,97.03,3.45
,,,,,,,,,,,,,,,,,,,,,,
maven,derpp,albert,99.87,89.87,88.11,81.76,77.54,75.79,65.29,62.94,64.35,54.38,52.2,47.94,44.28,41.96,37.56,36.43,-1.4,-67.71,67.71,5.51
maven,derpp,bert,100,96.9,89.48,85.86,81.53,77.27,74.13,73.85,66.77,64.59,66.58,62.2,56.47,54.83,51.96,50.38,-0.26,-52.9,52.9,7.06
maven,derpp,gpt2,98.8,90.64,85.6,83.56,83.57,80.97,74.9,68.09,67.69,61.54,53.55,53.79,47.09,53.34,44.29,46.31,-2.01,-57.01,57.01,6.95
maven,derpp,roberta,100,93.97,89.79,86.55,79.99,79.28,74.55,73.04,68.45,62.43,58.14,59.03,59.23,49.06,47.88,46.49,-0.77,-57.02,57.02,7.14
maven,derpp,xlnet,99.85,95.11,91.3,84.9,78.49,78.46,75.89,69.03,67.14,66.81,57.08,54.91,48,46.94,45.08,46.81,-0.95,-56.7,56.7,9.38
