dataset,Method,PLM,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,forward transfer,backward transfer,forgetting,time
maven,joint,albert,2.91,3.99,8.83,10.15,12.84,13.14,12.4,12.11,12.7,11.77,12.8,12.73,13.19,14.38,13.68,92.29,0.16,78.53,0,3.17
maven,joint,bert,4.08,5.75,5.93,6.13,5.33,7.64,7.14,8.02,8.23,7.93,7.83,7.91,7.57,7.99,8.04,99.98,0.08,91.94,0,3.27
maven,joint,gpt2,13.37,15.99,12.57,12.01,10.3,8.98,7.98,9.28,9.29,10.68,10.38,9.85,9.17,8.8,8.5,99.24,-0.02,90.72,0,3.31
maven,joint,roberta,6.93,9.78,9.01,8.25,7.46,6.56,6.18,5.94,6.13,6.58,6.65,7.11,6.9,6.45,6.39,99.96,0.09,93.57,0,3.31
maven,joint,xlnet,4.21,2.56,4.04,4.97,6.14,6.18,6.76,8.66,8.75,8.63,8.44,7.95,8.56,8.65,9.15,99.96,-0.03,90.81,0,4.52
,,,,,,,,,,,,,,,,,,,,,,
maven,vanilla,albert,100,57.82,45.56,39.21,31.64,27.08,21.84,18.69,22.24,18.53,19.11,17.6,21.54,18.61,14.74,16.86,-1.67,-88.68,88.68,3
maven,vanilla,bert,99.96,63.67,46.39,54.24,44.47,48.93,50.53,39.37,36.71,39.03,33.18,34.72,34.86,28.49,33.64,31.24,-4.12,-73.3,73.3,3.15
maven,vanilla,gpt2,99.3,87.54,66.76,46.18,35.76,43.07,36.45,30.32,31.45,26.76,30.99,22.7,23.48,27.38,23.31,20.99,-2.29,-83.87,83.87,2.42
maven,vanilla,roberta,99.84,61.12,53.92,60.55,50.99,43.07,37.02,44.44,41.14,38.62,31.95,32.62,28.91,31.66,29.22,26.9,-0.97,-77.88,77.88,2.7
maven,vanilla,xlnet,99.92,70.82,62.56,59.85,45.51,48.26,40.74,36.05,35.8,37.73,37.64,31.77,32.79,27.34,29.03,24.76,1.41,-80.18,80.18,3.29
,,,,,,,,,,,,,,,,,,,,,,
maven,er,albert,99.71,95.45,90.73,89.93,79.7,78.81,78.08,77.29,73.27,69.46,70.44,67.67,64.39,63.22,59.4,57.4,1.48,-45.36,45.36,4.11
maven,er,bert,99.9,97.99,96.15,93.48,92.89,90.23,89.25,85.2,86.08,83.36,81.88,84.38,76.91,77.09,76.39,76.75,-3.1,-24.75,24.75,3.18
maven,er,gpt2,99.31,98.27,95.55,92.26,92.72,88.87,87.72,88.35,84.13,82.63,81.44,76.27,76.27,72.27,71.87,69.7,-2.43,-31.75,31.75,4.3
maven,er,roberta,99.75,96.7,95.41,95.27,91.6,92.62,88.7,87.87,84.34,84.78,81.05,78.61,79.27,76.03,74.92,72.01,2.28,-29.75,29.75,3.27
maven,er,xlnet,99.84,97.03,96.06,95.73,93.47,90.81,88.28,89.19,87.86,84.23,83.06,83.76,81.75,76.87,77.18,75.12,-1.48,-26.45,26.45,4.08
,,,,,,,,,,,,,,,,,,,,,,
maven,ewc,albert,99.65,51.5,38.46,30.66,28.31,25.01,20.9,23.97,19.41,19.13,16.12,16.95,18.79,14.2,14.74,14.34,-2.49,-90.38,90.38,2.4
maven,ewc,bert,99.8,61.03,51.73,53.13,40,40.67,38.95,42.5,37.98,29.44,32.81,38.55,28.65,25.34,27.42,24.18,-0.71,-80.72,80.72,2.51
maven,ewc,gpt2,97.5,61.88,58.23,42.63,40.06,33.85,29.02,31.19,23.53,24.76,25.26,22.59,19.71,20.57,20.82,23.54,0.46,-80.87,80.87,2.49
maven,ewc,roberta,99.78,57.28,51.5,46.76,42.74,43.87,45.85,38.73,38.08,39.31,34.96,39.37,29.18,30.73,31.95,28.97,0.44,-75.66,75.66,2.53
maven,ewc,xlnet,99.84,79.68,65.86,59.85,58.93,53.48,50.91,52.97,42.97,36.15,31.72,32.03,29.18,29.85,30.26,32.15,-4.36,-72.32,72.32,3.45
,,,,,,,,,,,,,,,,,,,,,,
maven,derpp,albert,99.87,95.51,93.56,89.96,88.09,86.22,78.86,79.01,77.98,67.31,66.77,64.54,61.73,62.04,54.87,55.42,-3.21,-47.49,47.49,5.51
maven,derpp,bert,100,98.57,96.07,94.15,91.26,90.36,85.65,86.2,81.87,78.45,79.38,76.44,72.52,69.34,67.06,66.4,0.2,-35.81,35.81,7.06
maven,derpp,gpt2,98.8,94.76,92.79,90.68,91.55,89.92,85.75,81.75,80.4,74.52,69.99,70.06,64.92,68.67,61,62.82,-1.24,-39.42,39.42,6.95
