dataset,Method,PLM,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,task17,task18,task19,task20,task21,task22,task23,task24,forward transfer,backward transfer,forgetting,time
webred,joint,albert,4.39,4.45,8.25,10.97,9.55,10.72,13.14,11.97,11.67,11.75,11.39,10.55,11.45,11.43,11.92,11.24,11.15,10.61,10.24,9.83,9.53,9.74,9.54,93.33,-0.14,83.92,0,2.05
webred,joint,bert,8.49,7.48,5.99,4.75,9.59,10.44,12.44,11.4,15.69,14.84,13.55,14.07,13.22,13.13,12.53,12.12,11.6,11.33,11.29,11.22,10.91,11.05,11.06,95.56,-0.14,84.51,0,2.13
webred,joint,gpt2,6.55,12.27,11.94,9.21,8.17,6.94,6.06,8.43,8.9,8.11,10.45,9.76,9.98,11.5,13.08,12.57,12.08,11.54,10.98,10.54,11.67,11.25,11.13,93.41,0,82.47,0,2.12
webred,joint,roberta,0.38,1.53,8.4,10.47,9.03,8.9,7.77,6.8,6.7,6.3,9.5,8.85,8.38,7.9,7.43,7.52,7.33,7.01,6.64,6.42,6.41,7.89,7.67,95.06,-0.13,87.24,0,2.11
webred,joint,xlnet,11.21,10.03,9.06,7.98,14.49,12.5,11.2,10.67,10.22,9.37,9.19,8.67,8.56,8.43,7.88,8.24,8.19,8.6,8.24,7.83,7.53,7.55,7.28,95.28,-0.12,88.03,0,2.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webred,vanilla,albert,93.6,49.63,40.09,37.53,32.5,22.01,23.33,19.48,16.54,20.73,19.03,17.59,13.85,13.82,18.26,19.78,14.9,17.74,17.49,13.02,15.47,14.83,18.61,14.66,-1.72,-78.56,78.56,1.9
webred,vanilla,bert,98.19,60.55,42.09,45.92,35.16,41.29,24,21.68,27.01,20.88,31.47,34.35,23.94,30.56,23.08,20.23,24.06,29.77,22.25,21.49,21,21.75,21.47,15.75,-1.44,-83.67,83.67,1.97
webred,vanilla,gpt2,86.92,54.84,52.05,38.89,38.59,30.41,33.98,22.68,19.36,20.98,21.62,23.9,23.96,17.34,13.79,15.9,16.52,15.92,18.64,15.34,13.54,16.9,20.26,19.6,-1.59,-75.62,75.62,3.74
webred,vanilla,roberta,90.59,68.13,40.87,40.14,25.46,25.11,26.67,25.41,25.93,19.33,22.86,13.3,18.34,16.31,19.59,19.43,20.45,20.31,23.7,23.43,18.25,19.99,18.47,23.88,0.01,-74.29,74.29,2.03
