PLM,dataset,Method,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12
albert,seq-clinc150,joint,93.67,93.33,91.89,91.75,93,94.33,94.57,94.33,95,94.43,95.39,94.19,94.9,94.43,94.58,-0.6,-0.24,1.74,4.67,22,47,53.33,28.33,23.33,40.67,62.33,75.33,84,81.33,91.33,93.67,21.83,34,57,59.67,74.17,87.5,88.17,83.83,82.67,83.5,93,94.17,16.78,44.22,48.11,51.56,65.11,72.44,74,80.22,81.89,89.56,91.67,92.22,13.25,13.25,6.08,7.83,11.08,16.42,24.92,39.92,62.83,60.67,89.75,91.92,11.53,34.93,38.07,27.27,35,65.4,77.47,83.53,82.8,90,93.13,93.33,15.39,30.67,46.78,42.61,60.17,73.61,86.11,89.06,91.44,92.61,93.56,94.67,18.67,26.76,25.57,42.76,55.81,79.81,88.29,90.95,91.38,92.9,94.76,94.9,22.08,33.29,47.46,49,70.5,80.08,81.12,82.12,83.75,91.17,93.62,94.17,10.33,25.7,47.78,46.15,65.3,75.89,83.11,88.7,88.41,92.11,94.44,95.3,25,35.47,35.4,35.53,56.1,72.33,82.2,86.67,90.47,92.57,94.03,95.1,8.15,21.61,27.91,40.42,68.15,79.79,86.15,88.91,91,92.91,94.97,95.48,10.67,24.81,25.94,20.97,43.42,73.89,82.86,84.61,87.75,91.42,93.61,94.03,17.46,17.92,36.97,44.26,45.77,73.36,85.51,87.74,89.26,93.15,94.51,95.62,32.83,22.31,3.64,2.57,3.26,5.5,10.29,35.83,56.12,74.98,93.76,94.67,17.13,39.04,29.16,53.87,64.89,72.8,79.89,88.24,91.44,93.4,94.36,94.58
bert,seq-clinc150,joint,96,95.33,94.44,94.67,95.07,94.89,94.43,96.17,95.22,95.8,95.7,95.75,95.62,95.19,95.69,-0.86,-0.88,1.4,5.8,24.67,27.67,22.67,20.67,46.33,55,87.33,95.33,96,96.33,95.67,96.33,24.5,36,22,22.5,50.83,56.33,88.83,94.83,94.83,95.67,96,96.33,15.67,25.22,14.22,10.56,36.11,36,71.56,89.78,91.78,93.78,94.11,94.67,15.92,19.83,9.83,9.25,36.67,43.92,79.67,89.42,92.5,94.83,94.67,94.83,8.53,11,5,5,13.2,13.73,62.8,88.73,91.8,94.67,94.87,95,13.33,16.78,7.56,14.78,50.89,62.22,88.06,92.06,91.39,93.89,95.17,95.28,7.86,10.71,4.57,4.1,4.24,4.9,54.62,90,93.1,94.9,95.38,95.38,6.17,11.75,4.17,3.92,27.17,27.17,74.33,91.83,93.54,95.96,96.04,96.17,10.67,13.41,5.48,4.74,32.59,30.52,67.78,91.89,93.56,95.67,95.78,96.07,6.87,12.57,7.2,10.37,35.77,42.73,71,90.13,93.5,95.67,95.67,96.03,6.42,12.58,9,7.36,36.33,50.7,78.58,91.73,93.82,95.76,96.33,96.21,6.97,9.17,6.72,8.44,20.72,26.39,69.17,90.31,90.53,95.36,96.11,96.19,9.33,14.49,7.74,5.92,32.79,38.23,75.28,91.38,93.92,95.46,95.9,96.05,2.19,6.48,1.33,1.36,11.95,13.86,62.9,89.29,92.24,95.24,95.36,95.64,1.09,2.31,1,0.78,1.76,12.44,70.18,90.18,92.69,95.33,95.56,95.82
gpt2,seq-clinc150,joint,94.33,95.67,94,95,95.07,94.44,94.71,94.88,94.41,94.77,94.97,94.78,95.26,95.21,95.18,-0.71,-0.81,1.38,3.92,10,27.33,10,19.67,35,29.33,58.67,67.33,88.33,92.33,71.33,85,8.83,5.83,13.67,5,34.17,24.5,13.33,40,73.5,93.5,92.17,79.5,6.67,6.56,3.33,6.67,3.33,29.33,49.33,60.67,70.89,85,82.44,81.56,3,7.83,2.5,9.42,4.17,21.33,41.33,57.83,75.75,85.5,86.67,75.25,2.07,3.07,5.73,5.27,22.27,3,17.4,55.07,82.27,88.6,88.93,82.53,5.22,1.78,4.56,1.67,6.89,2.33,21,52.94,77.33,86.89,85,72.72,2.29,4.86,1.43,4.33,6.9,10.95,44.57,64.43,78.52,84,86.76,69.14,2.33,2.29,3.38,3.33,4.21,12.08,20.08,29.79,57.83,84.92,91.33,68.62,5.67,4.3,2.15,2.89,10.44,13.37,39.48,48.41,79.3,87.78,87.59,70.93,1,1,1,2.37,1,22.93,20.13,22.6,60.3,84.57,87.33,70.37,1.48,5,0.91,3.48,11.3,8.33,17.55,50.18,49.79,84.45,88.21,64.48,1.53,1.06,2.56,2.44,10.11,23.31,25.67,41.22,67.97,80.28,89.47,59.25,1.64,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,5.03,66.82,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,10.52,51,1.4,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,47.76
roberta,seq-clinc150,joint,98.33,96,95.11,95.67,95.67,96.06,95.81,96.33,96.48,95.77,96.64,96.53,96.46,96.57,96.31,-0.95,-0.55,1.5,3.47,44,18.67,13.33,20.33,56.33,59.33,95,96.67,98.67,98.33,98.33,98.33,25,13.5,15.17,12.33,24.67,17,83,93.33,94.83,95,96,96.33,20.22,17.89,10,11.33,23.33,27.78,87.33,93.89,95.22,95.78,95.78,95.33,25.67,21.25,19.5,16,13,16.58,79.67,94.33,95.67,95.92,95.92,96.17,15,5.07,5.07,3.27,2.8,29.93,93.6,95.13,95.93,96.13,96,95.73,17.61,17.06,18.56,16.83,19.83,37.06,91.61,93.61,96.17,96,96.06,96.44,8.33,11.05,14.76,9.95,4.62,15.62,93.81,94.62,96.1,95.57,95.95,96.1,7.54,8.08,12,12.5,13.29,48.67,95.04,95.29,96.21,96.17,96.42,96.42,7.11,15.33,15,12.63,23.3,50.56,93.41,96.33,97.19,97.04,97.04,96.96,3.23,11.43,8.13,4.47,2.9,14.37,93.7,95.27,96.13,96.23,96.1,96.1,2.94,2.73,6.33,3.61,1.82,19.45,93.58,95.82,96.58,96.79,96.67,96.73,9.67,15.08,16.44,13.06,12.11,69.31,95.5,95.31,96.61,96.75,96.53,96.78,23.95,17.92,23.33,27.05,37.56,69.59,93.56,95.03,96.36,96.64,96.74,96.87,3.93,2,0.71,0.83,0.71,19.33,92.86,95.12,96.21,96.69,96.69,96.71,3.98,7.07,9.02,4.24,1.69,24.36,93.53,96.02,96.62,96.76,96.82,96.89
xlnet,seq-clinc150,joint,95.33,97.67,94.56,94.42,94,94.94,95.71,95.71,95.96,95.93,95.7,95.64,95.54,96.1,95.64,-0.71,-0.29,1.69,4.97,10,10,12.67,52.67,80.33,90.33,93,95.67,96,91.67,37,30.67,7.33,11,18.17,69.5,77,83.5,89.33,90.83,93.67,90,22,56.33,6,8,11.33,54,64.22,75.89,87.67,90.67,93.33,89.78,23.44,43.44,5.92,11.83,13.42,64.08,76.33,85.58,91,92.08,94.17,91.5,13.83,45.08,2,4.2,15.47,62.27,77.2,88.47,91.47,89.2,93.67,89.6,2,60.73,1.67,10.17,34.17,66,79.11,88.72,92.5,92.39,94.83,93.11,7.67,77,2.71,8.67,17.05,46.24,42.19,41.71,71.86,70.38,90.29,93.24,11.38,39.62,1.33,5.33,34.75,76.04,85.67,91.71,94.17,94.96,95.88,94.04,2.54,52.67,1.33,5.15,27.81,78.85,85.93,91.85,93.74,95.37,96.04,94.11,1.11,61.85,2.63,9.23,30.17,65.03,65.83,69.33,84.93,86.63,94.4,94.6,3.67,78.8,1.39,9.55,42.85,76.64,78.12,86.09,93.06,93.06,94.85,94.36,2,58.94,1.39,9.03,44.72,76.39,84,89.75,92.81,93.42,95.39,94,5.14,37.08,3.46,12.49,49.9,76.82,83.36,90.03,93.1,92.95,95.15,93.79,0.77,46.05,0.81,7.88,23.83,57.48,56.29,50.62,76.93,72.9,92.12,94.6,3.21,54.31,0.71,18.58,51.04,80.18,85.4,91.49,93.87,94.16,95.16,94.31,1.29,43.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert,seq-clinc150,vanilla,95.33,48.33,32.22,23.58,18.07,15.22,13.76,12.04,10.67,9.73,8.91,8.17,7.31,6.83,6.04,-0.6,-95.48,95.48,1.06,19.67,49.67,65,58,72.67,86.33,79.67,66.67,60,82.33,94,95,16.83,33.17,50.33,30.67,46.67,46.67,68,70.83,72.83,75.67,85,84.67,21.89,35,48.11,31,42.11,63.67,66.11,66.89,68.11,67.33,72.22,72.89,22.92,21.58,35.08,31.25,34.83,60.83,67.58,62.75,66.08,62.33,67.75,72.83,22.2,25.47,45.87,24.4,19.67,17.67,34.33,26.07,33.73,30.13,30.27,28.33,22.33,20.39,39.22,31.78,24.94,28.67,39.56,44.22,42.06,38.06,39.78,40.06,24.19,21.19,30.38,22.52,25.67,37.86,46.52,55.62,48.52,44.62,46.38,42,25.33,24.5,18.58,21.12,9.96,29.12,52.88,52.08,51,45.79,41.88,39.58,25.19,16.11,15.26,23.37,16.15,35.44,52.15,53,44.74,40.26,36.74,34.67,24.43,13.33,12.17,36.67,27.33,40.8,52.2,43.5,38.57,34.9,33.33,34.33,21.48,5.76,15.76,42.67,34.55,49.76,59.97,52.97,42.88,38.52,34.58,34.73,22.64,3.97,11.47,30.28,25.39,52,58.56,48.39,35.5,33.44,31.89,31.81,22.54,3.85,8.21,17.1,31.36,51.54,57.23,49.03,40.28,32.79,33.54,34.56,23.02,5.74,9.33,19.02,20.86,51.67,58.26,52.26,43.71,38.98,35.9,35.6,22.89,6.82,10.71,14.2,18.8,42.07,52.96,38.53,39.6,35.33,30.93,28.42
bert,seq-clinc150,vanilla,95.33,52.5,35.22,35.17,24.53,20.17,23.52,18.71,16.07,15.83,14.88,15.89,16.72,15.02,15.09,-0.86,-88.48,88.48,1.1,27,42.67,33.33,15.33,45.67,63,90.67,95,93,95.67,95.33,95.33,22.83,37.33,29.83,17.67,39.33,43.17,84.17,89,89.83,92.83,91.5,89,16.22,24.56,15.78,11,37.56,44,72.89,79.89,80.67,82.67,79,74.67,17.83,15.83,9.83,9.58,37.33,46,73,81.08,83,84.08,81.58,81.08,12.53,17.6,5.2,3.6,35.73,46.6,75.07,85.93,84.47,86,82.73,83.6,13.22,17.72,6.22,4.5,17.28,26.22,76.06,85.06,85.06,85.5,83.17,79.67,15.76,14.81,9.05,6.29,10.38,11.52,79,88.76,88.52,88.05,87.24,82.52,19.21,14.38,10.83,6.42,8.12,8.17,73.62,88.67,87,85.62,82.46,80.38,22.22,14.07,9.52,5.04,9.81,9.74,75.19,87.52,85.59,84.33,82.93,80.52,12.27,13.37,10.43,7.43,13.93,16.03,72.27,85.63,84.43,81.17,80.9,77.67,14.91,13,8.7,6.21,11.36,17.7,67.21,86.24,84.94,83.67,81.82,76.06,18.69,15.19,11.39,7.22,9.36,12.56,68.94,84.36,83.81,83.25,81.81,78.22,16.59,16.62,9.92,8.13,9.15,15.21,60.87,82.62,84.92,84.79,82.92,78.74,7.1,12.12,5.02,2.33,5.67,14.6,65.79,84.33,85.21,85.5,83.67,79.71,2.76,9.82,4.18,3.16,3.91,9.16,71.6,85.78,84.42,83.73,81.73,78.33
gpt2,seq-clinc150,vanilla,96,52.67,34.89,26.75,25.13,18.78,17.67,13.87,17.04,13.83,11.52,13.61,13.31,8.69,9.78,-0.71,-93.19,93.19,1.13,24.67,18.33,10,10,10,57.33,42.67,27,47.67,74.67,59.33,66.33,5.17,5,5,5,14.5,24.5,31.17,63.83,78.17,82.33,77.5,39.33,5.89,3.33,3.33,9.89,9,37.33,36.44,50.89,63.67,66.33,74.11,24.33,2.5,4.5,5.33,6.67,18.5,12.75,31.92,50.08,62.25,65.33,65.58,19,2.87,10.47,2.13,6.67,8.33,12.07,21.4,37.6,55.87,71.53,65.73,21.47,5.44,4.33,2.89,8,4.89,12.5,33.94,37.5,52.22,64.11,56.22,12.56,4.57,3.76,1.43,5.57,6.05,6.33,35.14,43,52.29,59.9,56.29,10.1,3.17,1.38,1.25,3.38,2.46,6.75,11.17,31.83,50.88,61.42,56.71,10.58,4.3,1.11,1.11,1.11,3.41,4.93,15.81,41.93,47.93,59.81,57.78,12.19,3.67,2,5.13,2.17,1.97,8.07,15.37,37.2,45.13,64.03,60.37,18.33,2.67,1.97,0.91,4.73,1.06,6.55,7.33,13.79,40.94,54.42,55.03,8.12,1.69,6.25,1.78,2.36,2.94,4.78,6.64,16.39,42.36,62.47,58.56,7,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.79,8.56,1.19,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,4.64,0.84,3.84,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,3.07,4.4
roberta,seq-clinc150,vanilla,98.33,53.33,34.67,29.08,29.53,22.28,24.81,15.58,11.67,17.6,16.94,16.17,11.9,14.33,14.89,-0.9,-88.74,88.74,1.14,10.33,12,13.33,33.67,22,17.67,94.67,93.67,98,98,98.33,98.33,10.17,13,10.17,16.67,35.83,47.83,92.67,90.5,93.83,93.17,94,93,6.78,6.78,6.11,9.89,26.44,25.56,85.56,86.89,88.89,89.56,88.22,85,3.17,11.17,9.75,12.83,36,34.33,81.92,87.75,89.58,89.08,88.33,82.08,2,2.13,3.67,7.8,25.6,39.67,85.67,88.73,91.27,90.4,88.27,81.53,1.72,5.89,7,8.94,22.67,34.28,84,87.89,88.39,87.17,84.61,75.83,1.43,3.52,4.33,3.76,13.38,30.95,84.76,88.76,89.86,88,83.19,71.33,1.25,2.92,3.54,3.38,8.67,29.46,86.54,86.67,83.58,82.29,78.58,75.25,1.11,2.7,3.11,4.33,9.78,18.3,86.74,87.26,83.22,82.26,79.15,73.63,1.23,3.93,5.73,10.6,19.57,24.1,81.77,85.6,85.43,83.13,82.5,78.47,0.97,3.21,5.36,12.03,21.61,33.82,83.48,85.88,87.67,83.64,84.73,80.61,1.08,3.11,5.25,10.78,25.44,35.47,82.47,84.11,86.67,84.25,82.11,78.61,1.46,5.1,9.36,21.77,46.33,45.64,81.82,82.51,86.33,83.79,83.44,80.51,0.71,2.79,3.07,11.29,34.02,49.93,83.07,84.21,85.17,83.31,81.21,77.88,1.09,4.62,7.18,12.93,23.27,34.84,82.29,86.09,84.38,83.07,80.93,76.09
