task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,PLM,Method,buffer_size
94.33,93.5,91.11,90.75,88.93,88.56,86.48,85.92,84.44,82.17,81.85,80.22,75.59,74.07,73.24,-0.6,-23.95,23.95,1.36,22.67,47,56.67,50.67,61,68.33,71,65,50,64,84.33,93.33,17.67,35.67,45.5,37.83,58.33,73,79.5,76.17,68,75.17,89.67,93.67,14.33,35.78,41,29.11,43.56,60.11,74.56,75.44,74.67,81.22,88.78,90.33,15.25,41.17,48.5,41.08,48.75,60.75,73.33,80.83,79.5,82.83,88.08,90.25,12.6,38.47,49.47,36.87,52,64.93,75.13,81.67,78,84,88.67,90,17.17,37,41.33,33.17,45.06,63.5,75.17,79.72,78.72,81.89,87.78,89.72,16.57,36.1,38.76,24.9,43.52,62.57,75.05,80.57,82.33,84.43,88.24,88.95,15.33,25.29,23.29,19.62,40.96,61.92,76.42,81.58,83.29,83.04,87.71,89.04,17.89,30.07,29.52,21.15,43.89,60.81,75.93,81.93,83.67,83.56,87.07,88.59,18.33,29.73,31.33,25.17,45.5,64.67,76.9,82.4,83.27,83.27,86.6,87.53,19.12,35.85,40.67,31.85,45.64,63.09,75.91,83.06,83.88,83.55,86.12,87.58,14.94,29.31,36.56,24.56,39.03,57.42,71.64,80.11,82.03,83.39,86.17,87.81,16.85,31.85,38.26,27.03,39.1,54.95,68.97,77.54,79.97,82.38,85.36,86.72,18.4,28.83,37,23.81,41.48,56.67,71.1,77.31,78.95,81.31,83.6,86.45,17.36,17.64,44.38,25,34.31,46.58,67.13,75.62,78.22,79.38,82.38,85.64,albert,derpp,200
96.67,95.83,94.56,94.5,94.47,93.61,93.76,93.79,93.3,91.93,91.09,89.64,89.46,88.64,86.29,-0.86,-12.1,12.1,1.41,26.33,45.33,34,13.33,57.33,78,93,95,94.33,95.67,96.33,97,23.17,39.83,27.33,15,48.33,60.83,90.5,95.33,95.67,95.5,95.67,95.33,16.78,30.11,17.22,9.33,38.89,54.44,85.11,92.78,94.33,94.89,94.78,94.67,15.67,23,13.67,9.83,40.92,55.75,83.42,91.5,93.25,94.83,94.83,94.5,5.53,18.27,4.93,5.2,32,52,82.8,92.13,93.4,95.07,95,95.07,6.56,18.5,5.61,5.17,12.06,31,83.44,90.78,93.22,94.56,94.78,94.72,8.81,18,7.43,5.67,22.29,41.95,87.05,92,93.81,94.67,94.57,94.76,9.96,16.21,7.08,5.29,18.54,31.25,82.92,92.42,93.71,94.5,94.58,94.58,11.41,14.59,6.63,4.52,10.11,21.37,83.19,93.48,94,94.59,94.74,94.3,8.77,13.7,9.23,7.43,15.47,28.33,80.87,91.7,92.87,93.87,93.77,93.47,9.09,14.79,9.48,7.12,13.15,25.73,78.82,91.52,92.36,93.39,93.52,93.03,9.56,15.14,10.67,6.89,12.17,28.28,80.56,91.64,92.5,93.14,93,92.86,9.15,12.15,7.92,3.97,17.21,35.62,80.15,91.54,92.59,93.54,93.21,92.72,4.69,12.14,4.12,2,9.83,36.86,80.71,91.02,92.21,93.1,93.1,92.69,2.02,6.53,2.04,1.13,3.84,23.13,80.98,90.62,91.76,92.51,92.76,92.11,bert,derpp,200
94.67,93.67,91.56,92.5,92.8,91.17,90.86,89.17,89.93,87.93,88.3,86.69,86.87,84.93,83.67,-0.71,-13.57,13.6,1.44,17.33,20,10,10,13.33,52,48,64,74.33,76.67,46.67,51.67,5,10.33,5,5,10,31.83,40.17,47,72,76.67,41,34.67,4.56,9.33,3.33,6.67,6.67,22,31.44,49.11,64.33,70,44.11,35.89,5,5.5,2.5,3.67,4.92,20,40.08,53.25,69.83,75.33,51.33,32.67,3.8,4.93,2,2,5.8,23.73,35.93,55.67,67.33,72,47.2,24.47,1.67,4.61,1.67,3.33,5.28,26.56,36.28,59.06,70.61,75.67,54.83,26.67,1.71,7,1.57,2.19,7.38,19.62,34.38,62.9,73.52,77.48,59.62,23.43,1.5,5.96,2.17,1.25,6.5,21.67,30.79,50.71,70.92,78.42,59.42,25.25,1.7,6.04,2.22,1.15,5.41,24.59,32.11,50.15,73,76.63,63.3,26.07,1.57,6.33,3.17,4.57,10.83,27.23,37.97,50.27,72.9,78.73,60.37,24.97,1.3,8.27,3.06,10.36,17.33,23.45,38.88,52.85,72.94,78.09,64.42,22.18,1.06,6.61,3.94,9.53,14.69,17.97,35,51.47,69.42,75.19,62.81,20.78,1.95,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.85,3.21,16.9,1.83,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.83,2.86,18.98,2.04,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,18.49,gpt2,derpp,200
98,96.17,93.33,94.42,94.87,93.06,93.52,93.17,92.11,91.23,89.61,87.22,86.44,86.07,83.62,-0.9,-15.33,15.33,1.44,10.33,10,10.67,41,21.33,34.67,92.67,95.67,97.67,97.67,98,98,10,8.83,8.67,21.33,35.67,29.83,87.83,95.33,97,96.83,96.17,96.5,6.67,5.78,5.78,12.89,37.78,47,89.67,93.33,94.33,94.11,94.89,95,2.58,7.5,8.67,10.5,29.33,37.67,90.75,94.33,95.33,95.42,95.75,95.67,2,2.73,2.07,3,12.53,37.27,93.13,94.07,95.73,95.73,95.73,95.4,1.72,4.83,2.78,5.33,26.44,47.5,93.56,94.56,95.17,95.28,95.28,94.72,1.43,3.57,3.71,5.57,21.43,39.19,92.38,94.05,95,94.52,95.29,95,1.38,2.96,3.5,4.67,22.25,44.25,92.12,93.25,94.83,94.46,94.92,94.38,1.11,2.59,3.3,5.63,35.63,55.67,93.33,93.7,94.3,94.04,94.67,94.33,1.07,3.37,5.2,7.23,33.03,53.17,92,93.4,93.93,93.7,93.93,93.37,0.91,3,5.64,10.42,39.88,56.67,92.55,93.91,93.45,92.67,93.76,93.06,0.83,2.53,5.28,9.78,37.22,58.67,92.19,93.44,93.42,92.75,93.33,92.5,1.49,5.18,4.56,9.54,33.95,57.72,91.15,92.82,93.1,93,93.26,92.15,0.71,2.48,1.81,2.69,33.33,59.17,91.14,92.31,92.55,92.45,92.45,91.64,1.09,4.22,2.73,2.4,14.78,56.96,88.82,91.87,91.22,90.62,90.56,89.18,roberta,derpp,200
97,95,92.33,93.67,93.4,91.83,90.95,90.79,89.74,86.7,86.58,84.17,83.15,80.36,78.67,-0.74,-20.1,20.1,1.98,10,10,17.33,86.33,90,93.67,97.67,95.67,97.33,96.67,10,97,9.33,11.33,21.33,83.17,86.67,89.67,93.17,95,95.67,93.17,18.83,93.17,6.11,9.89,30.11,74.56,84.56,89.78,92.33,92,93.67,91.89,3.33,89.33,6.92,14.58,30.5,77.42,84.75,91.5,93.83,92.83,94.25,92.83,6.75,85.5,2,12.93,39.73,80.87,86.87,91.47,93.53,93.13,93.87,93.07,2,88.53,1.67,12.22,42.22,80.22,87.28,91.39,92.67,93.17,92.83,92.11,2.17,86.83,2.81,16.43,53.71,81.19,87.05,91.81,93.33,93.57,93.81,93.1,3.57,88.14,2.54,20.25,52.29,81.67,87.33,92.21,93.67,92.71,93.62,92.58,2.54,85.33,2.26,21,60.89,81.15,87.11,91.96,93.59,93.48,93.93,92.89,3,83.33,3.37,28.33,65.57,80.87,86.57,91.47,92.47,93.3,92.83,92.2,3.33,78.13,3.09,33.61,67.7,82.27,86.88,91.27,91.94,92.82,92.85,92,3.76,82.52,2.75,39.94,69.83,81.83,87.67,91.53,92.11,92.94,92.81,92.19,2.44,81.56,2.51,44.79,72.05,82.36,86.92,91.03,91.9,92.54,92.15,90.74,2.1,82.49,0.81,44.9,72.02,82.12,86.93,90.93,91.83,91.98,91.4,89.83,3.05,77.69,1.44,40.73,69.56,82.58,86.18,90.04,91.29,91.24,90.89,89.44,2.78,83.67,xlnet,derpp,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,94.17,92.56,92.58,92.4,90.78,91.52,90.46,91.52,90.8,91.15,90.19,89.72,89.4,88.36,-0.6,-7.93,7.93,1.49,20,56.33,52,60.67,68.67,76,75,66.67,52.67,74.33,90,94.67,20,33.5,50.83,50.5,58.5,67.33,84.17,84,82.5,88.67,93.67,94.5,19.11,31.22,48.89,44.56,55.33,60,77.56,78.11,81.56,88.22,91.22,92.78,19.58,39.08,53.67,51.83,62.67,67.58,76.92,81.17,85.33,88.92,92.25,92.83,16.27,33.47,51.67,46.53,54.47,62.2,77.07,83.47,85.93,90.13,91.67,92.47,16.17,31.89,56.22,52.22,59.5,68.28,81.5,84.83,86.44,88.94,90.61,91.89,19.57,22.24,51.57,34.29,51.05,61.86,79.1,83.38,85.52,89.67,91.86,92,20.58,23.04,52.67,38.58,58.58,64.92,79.08,83.12,85.67,89.33,91.33,91.62,18.41,28.19,53.33,43.04,58.59,64.3,79.11,83.89,86.78,90.04,91.59,91.74,18.53,22.07,41.93,38.67,53.37,67,79.57,84.7,87.03,89.07,89.97,91.87,19.82,24.3,43.7,36.97,54.42,64.73,78.52,83.58,86.67,88.52,89.91,91.55,17.28,20.67,44.89,35.22,50.44,62.67,79.56,83.69,86.64,88.58,90.22,91.81,17.59,24.51,46.62,37.82,56.9,64.69,79.46,84.18,86.1,88.21,89.74,91.64,17.64,23.55,46,31.83,53.36,60.71,75.02,82.45,85.5,88,89.74,91.17,19.87,23.13,46.13,36.71,59.89,66.64,78.51,83.69,85.49,87.51,88.84,90.6,albert,derpp,500
96.33,96.5,95,95,94.67,94.72,95.19,95,94.74,93.97,94.33,93.67,93.69,93.02,93.04,-0.86,-4.48,4.52,1.51,27.67,45.33,34,16.67,57.33,77.67,91.67,95.33,93.33,95,95.33,96.67,22.17,38.33,27.17,16.67,51.17,61.33,88.33,94.83,95,96.67,96.67,96.17,15.89,28.78,19.44,11.89,43.22,50.89,84.22,93.22,94.56,95.78,95.22,95.33,15.17,22.58,14.25,11.5,42,49.25,83,92.33,94,95.5,95.42,95,5.27,20.4,6.2,5.2,36.4,48.67,82.07,93,94.2,95.73,95.27,95.07,5.83,20.78,7.67,6.28,26.83,38.17,82.94,92.56,93.61,95.5,95.67,95.28,7.29,19.57,8.24,6.05,24.05,32.9,84.9,92.76,93.86,95.24,95.48,95.52,8.92,19.46,7.79,5.54,22.25,36.92,83.42,92.58,93.75,94.96,95.21,95.17,9.44,18.37,8.26,5.11,18.07,35.3,83.37,92.7,93.7,94.78,95.07,95.04,9.87,14.83,10.17,7.73,17.53,31.3,80.27,91.73,92.53,94.4,94.6,94.87,8.82,15.85,10.76,7.24,17.33,34.48,81.61,91.97,93.09,94.45,94.7,94.97,8.64,15.36,11.36,7.56,16.72,37.81,81.81,91.89,92.78,94.11,94.19,94.44,7.69,13.54,8.1,5.08,21.62,46,80.59,91.62,92.77,94.23,94.28,94.21,3.29,12.19,5.02,2.62,19.1,44.14,78.29,91.21,92.31,93.88,94.19,94.14,1.27,4.89,0.96,0.76,10.71,36.53,79.58,90.89,92.02,93.73,94.09,94.02,bert,derpp,500
94.33,94.33,93,94.08,94.2,93.11,93.29,92.96,93.33,91.77,92.42,92.44,92.31,91.5,90.6,-0.71,-6.05,6.05,1.46,35,20,10,10,20,47.67,42.67,52.67,74.67,79.67,38,73,10.17,8,5,5,9.83,23,23.5,58.5,73,79.33,32,37,8.11,6.22,3.33,6.44,14.44,16.22,16.78,59.33,66.89,78.67,50.67,43.56,2.5,9.42,2.5,2.58,7.92,19.67,28.42,64.75,72.5,79.58,55.25,39.83,6.8,8.73,2,3.8,9.07,17.6,37.8,57.53,67.47,73.93,55.87,39.4,6.28,4.44,1.67,3.11,7.22,19.39,38.56,59.39,71.28,76.17,54.22,35.94,5.38,5.19,1.43,2.95,6.14,20.43,34.14,53.71,67.67,76,54.1,32.52,5.71,5.67,1.25,2.75,6.29,18.08,24.12,52.17,67.46,74.25,57.12,29.21,3.81,4.67,1.11,3.67,3.96,21.07,31.19,58.15,68.78,74.74,62.52,30,2.6,5.6,1,5.97,4.97,23.5,34.97,57.27,71,76.57,59.5,30.8,2.61,7.06,1.09,3.7,9.15,21.36,39.7,54.36,71.88,76.42,65,28.21,2.47,6.08,1.44,1.86,8.97,21.31,35.42,59,73.58,76.22,65.72,26.56,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,3.05,24.41,1.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,2.29,24.31,2.44,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,22.51,gpt2,derpp,500
97.67,96.17,95,95,95.4,95.06,95.38,95.62,95.59,94.63,94.76,94.89,94.9,94.52,94.13,-0.9,-3.81,3.86,1.42,10.33,12.33,13,33.33,44.67,56.67,94.67,95,97,97.67,97.33,97.67,10,11.17,8.33,16.67,29,48.67,91.5,94.5,95.67,96.67,96.33,96.5,6.56,5.67,5.44,8.33,17.67,47,90.67,92.22,94.44,95,95.33,95.33,2.58,9.67,9.42,9.67,28,40.25,90.83,93.25,94.75,95.08,95.08,95.17,2,2.53,3.33,5.53,13.47,32.73,91.47,93.4,95.27,95.53,95.73,95.67,1.72,5.5,4.44,6.94,13.94,29.83,91.44,93.44,94.89,95.56,95.56,95.44,1.43,3.38,4.24,2.81,12.48,31.24,91.38,93.67,95.48,95.38,95.71,95.76,1.25,2.96,3.42,2.33,9.08,29.79,91.67,93.46,95.71,95.83,95.67,95.88,1.11,2.41,3,2.11,6.81,24.78,91.41,93.89,95.52,96.07,95.67,95.7,1.07,3.97,5.73,5.6,9.53,17.37,91.5,93.9,95.3,95.47,95.23,95.1,0.94,3.39,4.91,5.27,10.06,20.97,91.33,93.55,95.27,95.18,95.24,95.09,0.89,3.67,4.86,4.81,8.69,14.83,90.28,93.28,95.31,95.36,95.67,95.25,0.87,4.92,5.54,6.54,15.82,24.33,90.08,93.33,95.13,95.18,95.67,95.36,0.71,2.62,1.64,1.79,7.88,26.17,90,93.36,94.67,94.45,95.02,95.1,0.91,3.38,2.64,2.84,4.87,20.49,90.53,92.73,94.49,94.56,94.93,94.98,roberta,derpp,500
