task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,PLM,Method,buffer_size
94.33,95.17,94.89,94.42,93.6,92.33,91.14,91.46,90.78,90.33,90.09,89.31,88.26,86.95,86.96,1.05,-9.98,10.02,1.36,22.67,47,56.67,50.67,61,68.33,71,65,50,64,84.33,93.33,24,45.67,55,47.5,71.67,80.5,84.5,80.83,74.33,79.33,92.33,95.5,27.44,55.11,61.56,56.33,69.67,74.11,83.56,81.89,82,88.11,93.89,95.56,25.17,56.92,64.67,62.08,71,73.67,81.75,85.17,85,87.92,92.75,94.92,25.2,51.53,64,60.8,71,78.33,85.07,86.2,84.87,89.4,92.47,94.33,32.28,51.94,62.17,58.22,69.67,79.89,86.11,88.67,87.61,89.22,92.89,94.39,32.67,52.86,67.1,56.48,66.67,78.95,85.29,88.52,89.67,91.05,93.24,94.43,32.29,46.46,57.62,54.96,66.67,79.42,87.17,90,91.17,91.79,93.04,94.58,36.22,51.74,63.07,56.3,66.44,79.19,87.67,91,91.04,91.85,93.07,94.33,38.93,48.43,61.63,56.87,68.27,81.7,88.3,91.27,91.43,91.87,93.1,94.37,42.36,53,68.09,62.52,69.55,81.21,88.15,91,91.64,92.36,93.12,94.88,41.75,52.08,66.11,56.42,68.56,81.08,87.17,91.81,92.14,91.97,93.81,95.22,43.36,54.05,69.1,56.18,67.44,79.33,86.36,90.49,91.23,92,93.41,94.9,45.57,51.02,69.14,55.69,70.14,82.79,88.36,91.26,92.05,92.12,93.38,95.36,45.84,44.2,71.87,58.96,67.27,80.44,87.47,90.69,91.2,91.93,92.84,94.44,albert,derpp,200
96.67,96.83,96.78,96.33,96.33,95.94,96.24,96.08,95.85,95.13,95.18,94.69,95,94.88,94.71,0.29,-3.45,3.62,1.41,26.33,45.33,34,13.33,57.33,78,93,95,94.33,95.67,96.33,97,23.67,43.5,30,15.83,61.5,80.17,95.33,97.17,97.5,97.17,97.33,97.17,29,44,34,22.89,67.78,83.89,94.22,96.67,97.22,97.56,97.67,97.67,25.08,35.75,29.42,20.75,63.83,77.5,90.75,95.5,96.33,97.17,97.08,97,21.6,32.2,24.93,17.67,52.53,72.73,90.13,95.87,96.4,97.2,97.2,97.13,21,33.28,23,17.22,33.28,57.94,91.5,95.28,96.17,97.06,97.33,97.39,21.95,31.52,24.24,16.62,49.48,69.71,92.57,95.76,97.05,97.38,97.19,97.19,22.25,30.25,23.5,16.25,45.33,61.75,91.29,95.54,97,97.46,97.42,97.17,27.15,32.81,26.22,19.78,33.52,53.3,91.44,96,97.26,97.59,97.7,97.33,27.77,33.4,26.87,20.6,41.1,60.53,92.8,96.2,97.17,97.63,97.53,97.07,29.3,33.67,27.64,22.27,39.24,59,92.48,96.24,96.76,97.15,97.12,96.94,29.39,34.42,29.17,22.47,37.58,63.33,93,96.08,97.03,97.03,97.14,96.97,28.49,33.13,28.28,21.82,45.51,67.33,92.59,96.38,97.1,97.36,97.31,97,28.1,32.14,27.52,21.76,41.07,70.17,92.81,96.26,97.19,97.45,97.33,97.36,28.29,31.2,25.69,20.02,36.56,68.51,93.02,95.98,96.96,97.38,97.33,97.09,bert,derpp,200
94.67,95.33,95.67,95.42,95.27,95.17,94.9,94.5,94.89,94.2,93.88,93.11,93.1,92.83,92.2,-0.21,-5.07,5.07,1.44,17.33,20,10,10,13.33,52,48,64,74.33,76.67,46.67,51.67,19.83,14.83,10,10,25.83,36.83,49,57,74.33,85.33,71,71,19.78,13,10.11,21.11,31.22,27.89,50.89,69.44,81.67,85.56,75.33,68.67,17,16.67,12.67,21.83,27.58,35.08,60,75.5,83.83,88.67,80.08,69.42,18.07,14.8,16.27,20.4,25.8,33,58.6,73.47,80,85,75.33,59.6,18.17,15.06,13.94,27.33,23.06,35.28,58.89,74.56,83.78,86.44,79.11,62.28,17.9,17.19,15.05,26.95,29.38,35.29,55.67,79.38,84.29,87.1,80.9,60.95,16.46,18.62,14.83,18.79,29,35.46,55.71,70.71,87.08,87.54,80.83,60,15.22,17.41,17.7,26.44,27.56,37.37,57.74,69.89,84.81,88.15,81.3,60.33,14.57,20.07,18.67,32.13,30.5,42.33,61.63,72.63,84.97,89.03,80.77,61.03,15.39,18.7,18.27,30.64,34.61,43.79,63.15,74.58,84.48,88.33,81.82,57.09,16.36,18.64,16.08,26.14,33.06,42.17,61.67,74.83,82.92,86.92,80.06,55.33,15.74,19.28,14.05,23.54,31.72,40.13,59.9,70.31,76.38,80.54,74.21,53.44,16.26,24.26,14.31,23.1,34.24,42.05,60.98,70.21,77.81,80.62,73.74,58.36,16.29,23.29,14.73,19.38,34.2,43.11,59.33,68.53,74.13,76.8,69.47,57.8,gpt2,derpp,200
98,97,96.33,96.58,96.67,96.44,96,96.21,95.96,95.17,94.76,93.61,93.23,92.69,90.38,-2.29,-8.36,8.4,1.44,10.33,10,10.67,41,21.33,34.67,92.67,95.67,97.67,97.67,98,98,10,17.83,14.83,34.5,48,39.67,93.83,96.67,98.17,98.17,97.67,97.83,10,19.78,17.89,26.67,60.78,62.22,94.89,96.67,97.33,97.11,97.44,98,10,22.58,18.25,26.58,58.08,64.5,95.42,96.5,97.42,97.58,97.58,97.67,10,19.67,15.8,21.87,48.47,70.73,96.13,97,97.47,97.8,97.6,97.4,10.89,20.5,16.78,26.17,58.06,77.56,96.56,97.28,97.44,97.89,97.89,97.61,10.81,19.05,15.62,23.1,52.67,67.05,97.19,96.95,97.14,97.62,97.71,97.62,10.83,21.46,16.79,22.17,50.83,72.71,96.62,96.92,97,97.54,97.33,97.38,10.74,21.78,16.85,26.22,65.04,78.48,97.33,97.48,97.44,97.67,97.89,97.78,12.7,23.3,18.93,24.53,61.97,78.9,96.97,97.77,97.5,97.6,97.8,97.6,12.21,25.76,21.64,31.73,68.52,79.97,97.09,97.61,97.48,97.33,97.55,97.64,11.89,26.33,24.39,33.11,66.72,81.22,96.78,97.36,97.36,97.31,97.72,97.81,12.67,26.26,23.03,32.95,66.1,80.92,96.33,97.05,97.15,97.26,97.23,97.15,12.62,24.14,22.86,29.98,69.93,82.88,96.6,97.43,97.4,97.55,97.38,97.26,12.53,25.64,22.09,24.56,59.02,82.91,96.33,97.2,97.24,97.29,97.22,97.13,roberta,derpp,200
97,97.5,96.22,96.42,95.87,94.83,95.43,95.46,95.11,93.83,93.55,92.25,91.23,89.71,89.38,-2.45,-8.83,8.93,1.98,10,10,17.33,86.33,90,93.67,97.67,95.67,97.33,96.67,10,97,10.17,13.17,27,92.33,94.33,95.67,97.83,97.5,97.33,96.5,21.67,97.67,11.44,21.78,47,91.56,95.67,96.22,96.89,96.78,97.56,96.11,15.78,97.56,10.75,24,46.42,90.58,93.83,95.75,96.67,96.58,97.08,96.08,25.58,95.92,10.53,24.27,53.47,90.87,94.2,95.73,96.4,96,96.87,96,22.93,96.13,12.39,25.44,56.72,90,94,96,96.44,96.06,96.44,95.89,14.17,96.22,11.81,31.29,67.38,89.14,92.9,95.95,96.67,96.38,96.95,96.29,22.33,96.67,13,35.71,66.42,89.88,94,96.54,97.17,96.42,97.08,95.96,22.42,96.79,13.89,41.59,74.04,91,94.48,96.7,97.48,96.78,97.3,96.67,22.37,96.22,16.53,47.47,78.63,91.13,94.13,96.87,97.2,96.77,97.1,96.53,26.57,96.23,17.3,52.61,80.97,91.3,94.3,96.61,97.33,96.94,97.06,96.12,25.55,96.45,17.97,58.33,83.19,91.36,94.61,96.67,97.17,96.86,97.08,96.72,27.64,96.47,17.79,62.18,85.03,91.64,94.49,96.36,96.92,96.64,96.59,96.08,23.26,96.23,17.12,62.29,84.62,91.43,94.71,96.48,96.71,96.57,96.9,95.71,25.12,95.9,18.6,62.36,84.13,92.18,94.33,96.04,96.73,96.51,96.62,96.24,20.38,95.96,xlnet,derpp,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95.83,95.78,95.33,95.07,94.17,94.05,94.29,94.74,94.03,94.39,94.19,93.67,94,93.87,0.52,-2.98,3.1,1.49,20,56.33,52,60.67,68.67,76,75,66.67,52.67,74.33,90,94.67,28.33,46.33,58.67,61.83,77.83,79.83,89.67,87.5,86.33,91.33,95.33,96,36.11,48.56,67.22,66.44,78.67,82.44,86.11,84.44,87.11,93,94.56,96,33.08,51.42,67.92,70.33,78.42,83.17,84.58,85.83,88.75,92.5,95.25,95.42,29.67,48.4,69.4,63.07,72.2,78.6,86.47,88.33,90.73,93.47,94.87,95.13,32.72,48.17,72.44,70,76.83,83.44,89.39,90.11,91.56,93.39,94.89,95.83,34.67,45.67,71.95,67.14,76.57,82.43,88.86,89.48,90.62,94,95.1,95.62,35.08,45.17,72.33,68.08,79.67,81.83,89.08,89.79,91.29,94.42,95.88,96,34.22,50.07,72.3,71.26,81.44,82.7,89.74,91.44,92.52,95.07,96.15,96.11,39.2,47.9,69.17,70.07,81.4,85.63,90.5,91.7,92.8,95.07,95.97,95.73,42.82,48.85,68.94,68.82,81.88,86.06,90.82,91.94,93.45,94.91,96.15,96.06,43.94,45.72,69.92,67.14,78.89,84.31,91.06,92.39,93.31,95.19,96.03,96.19,43.79,47.69,70.23,69.62,83,85.38,91.28,92.64,93.03,95.08,95.74,96.33,46.38,50.55,70.64,68.88,81.93,85.6,91.31,92.98,93.4,95.29,95.88,96.24,48.07,51.11,73.16,72.11,83.91,87.38,92.24,93.29,93.8,95.13,95.84,96.24,albert,derpp,500
96.33,97.33,96.56,96.42,96.27,96.44,96.62,96.5,96.48,96.4,96.7,96.28,96.46,96.52,96.58,-1.07,-1.21,1.36,1.51,27.67,45.33,34,16.67,57.33,77.67,91.67,95.33,93.33,95,95.33,96.67,22.67,40.67,29.5,18.17,65.67,79,95.5,97.17,96.67,97.67,97.67,97.67,28.33,44.89,34.89,24.89,71,78.89,92.33,96.67,97.22,97.67,97.44,97.56,25.42,39.25,31.5,23,62.75,69.58,89.58,95.25,96.58,97.42,97.25,97.17,21.67,36.6,27.47,19.33,56.47,66.93,88.07,95.93,96.47,97.47,97.2,97,20.61,36.61,26.61,19.56,51.33,62,89.94,95.67,96.06,97.17,97.44,97.28,21.57,33.81,25.62,17.48,50.57,61.43,91.19,95.86,96.62,97.29,97.38,97.38,22.08,34.88,25.46,16.92,48.79,64.5,91.58,95.71,96.71,97.38,97.46,97.38,26,37.41,29.33,21.52,44.59,62.52,91.15,96,97.04,97.48,97.59,97.74,27.6,37.5,29.6,22.33,45.87,63.6,92.7,96.5,97.17,97.53,97.83,98.07,28.24,39.03,30.7,23.58,46.88,67.33,92.97,96.67,97.36,97.67,97.91,98.12,27.86,38.69,31,23.72,47.08,69.67,93.14,96.61,97.19,97.31,97.53,97.58,27.82,37.31,30.1,22.49,51.49,74,92.92,96.69,97.03,97.51,97.77,97.74,27.33,35.17,28.05,22,51.17,75.05,92.12,96.45,97.14,97.62,97.76,97.9,26.62,32.62,26.53,19.93,51.82,74.69,92.76,96.42,97.09,97.62,97.78,97.84,bert,derpp,500
94.33,95.83,95.33,95.58,95.93,95.5,95.76,95.83,96.11,95.33,95.45,95.72,95.59,95.76,95.44,-1.14,-1.74,1.9,1.46,35,20,10,10,20,47.67,42.67,52.67,74.67,79.67,38,73,17.67,14.83,10,12.83,19.17,28.67,32.67,69.5,80.67,88,65.33,64.33,15.33,14.22,10,16.89,27.44,30.44,46,75.33,81.89,91,79.44,64.67,16.08,13.92,14.67,14.25,22.33,38.75,58,78.75,83.67,89.25,78.08,62.08,13.67,11.87,16.47,21.33,19.67,38.13,60.53,74.33,82.47,84.87,78.8,63.87,13.67,13.17,15.56,20.94,23.28,42.44,63.44,76.67,84.56,86.56,77.56,63.22,13.9,15.52,14.52,20.95,25.62,44.67,65.52,72.9,80.14,86,78.19,60.86,13.54,20.83,14.42,19.33,27,37.62,62.92,69.71,82.38,86.21,80.25,58.12,13.89,23.74,15.52,21.93,25.78,39.52,64.59,72.07,81.19,85.81,80.89,58.41,15.63,22.8,15.87,20.2,28.53,44.47,69.7,73.73,82.27,87.63,82,58.7,14.12,20.06,16.7,22.03,30.94,44.61,68.42,72.45,81.73,87.18,80.85,57.15,14.64,21.83,14.92,23.19,30.92,45.14,64.5,77.89,83.36,87.25,81.56,56.33,14.69,21.15,16.21,25.51,30,44.18,65.49,74.79,77.1,81.33,78.64,54.49,15.31,24,15.76,25.14,29.45,42.5,63.17,72.19,77.07,81.67,78.21,57.31,15.69,25.56,13.22,24.51,27.58,45.22,59.24,68.33,73.6,76.31,73.2,58.2,gpt2,derpp,500
97.67,97.33,97.33,97.17,96.87,97.11,96.71,97.29,97.37,96.8,96.82,97,96.85,96.76,96.89,-3.26,-1.43,1.57,1.42,10.33,12.33,13,33.33,44.67,56.67,94.67,95,97,97.67,97.33,97.67,10,16.5,14.33,24.5,45.17,73.33,94,95.67,96.33,97.83,97.83,98,10,24.33,17.89,23.22,46.78,76.78,94.33,96.33,96.89,98.11,98,98,10,21.17,19,20.83,53.75,72.42,94,96.25,97,97.67,97.75,97.83,10,19.47,17.67,17.93,41.33,64.27,94.8,96.13,97.2,97.47,97.87,97.67,11.39,20.28,18.28,19.5,41.33,63.72,95.06,96.28,97.56,97.78,97.89,97.67,11.24,19.38,16.86,17.43,39.24,61.67,95.57,96.52,97.57,97.71,97.71,97.76,11.21,20,17.25,17.75,35.12,57.62,95.46,96.33,97.79,97.92,98,97.88,12.37,18.78,18.19,17.78,32.52,57.93,95.63,96.96,97.89,98.11,98.19,98.19,14.43,21.33,20.4,21.2,33.53,49.23,95.9,97.1,97.97,98.2,98.03,97.83,13.45,22.7,20.94,23.18,37.03,52.97,95.7,97.18,98.03,98.12,98.03,98,13.69,23.83,21.86,21.42,31.14,45.75,95.61,96.94,98.08,98.06,98.25,98.08,13.26,25.38,21.64,24.74,45.05,56.15,95.41,96.69,97.95,98.13,98.03,98.1,13,24.45,22,25.26,42.5,61.48,96.17,96.9,98,98.02,97.95,98.12,13.49,24.31,22.09,25.18,36.96,57.53,96.16,96.73,98.02,98,98.04,98.16,roberta,derpp,500
