task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,PLM,Method,buffer_size
95.33,85.33,66.56,67.75,66.6,58.33,58.81,48.92,44.3,41.67,37.64,38.78,30.36,28.81,26.36,-0.6,-74.86,74.86,0.84,19.33,44.67,16.67,14.67,20,36,54.67,67.33,88.33,90.33,95,95,22.33,33.17,60.5,57,64.83,82.33,86,88,87,89,90.67,92,20.22,26.44,55.11,42.44,39.44,67.44,71,74.44,72.33,75.78,78.33,81.33,17.67,25.08,52.83,41.33,47.92,67.17,65.25,67.75,72.17,78.92,79.25,81.92,20.8,18.67,49.93,29.8,32.87,58.93,64.47,66.53,71.2,78.07,80.13,79.4,18.78,23.06,45.67,22.83,28.83,48.44,57.22,67.83,69.33,72.5,78.61,80.11,22.52,23.38,44.48,29.43,43.9,58.19,64.81,72.95,69.29,72.95,78.76,79.38,22.42,21.5,39.12,26.08,47.21,59.08,63.21,67,68.5,72.67,75.12,75.25,20.52,22.85,39.37,26.63,40.3,53.81,63.07,70.11,71.22,68.78,72.48,73.59,16.9,19.37,29.13,27.33,39.13,49,57.27,66.73,68.4,66.97,71.23,70.63,14.39,15.3,23.3,24.58,33.79,41.24,57.09,66.3,68.45,70.33,73.58,74.06,10.5,7.56,20.31,23.86,34.22,43.72,57.69,64.83,69.42,70.5,73.33,74.39,14.36,11.41,20.03,23.59,30.72,37.87,45.64,57.95,62.72,67.15,70.03,69.87,13.43,9.4,21.12,17.86,23.9,31.81,44.81,55.26,58.21,64.6,68.6,67.86,11.16,7.93,17.47,22.89,30.78,43.62,55.91,64.58,65.6,64.31,66.84,67.33,albert,er_nlp,50
96.67,86.5,75.22,78,76,72.72,69.19,63.5,59,60,54,51.5,54.54,51.81,50.36,-0.86,-50.48,50.48,0.98,28.67,41,25.67,15,58,83.33,95.33,96.67,96,96.67,96,97.33,23.5,32.67,19.33,13.5,43.83,66.67,89.17,92,93.83,92.67,92,90.5,18.78,22.67,11.44,9.33,42.44,71.89,83.78,86.67,86.44,86,86.22,82.33,17.67,13.67,9.75,9.5,41.83,69.33,84.08,88.25,88.92,88.42,88.33,85.42,14.73,12.47,5.27,5.47,36.33,53.6,84.47,89.67,90.13,90.8,90.13,87.8,12.72,12.33,7.17,6.56,23.39,49.78,85.67,89.72,90.11,90.28,88.5,86.67,11.52,11.86,6.81,6.86,30.95,49.48,85.9,90.52,90.19,89.67,88.86,85.81,12.62,12.21,7.08,6.42,33.25,57.5,86.54,90.29,90.38,88.92,86.17,85.62,14.78,11.59,8.26,4.85,20.04,49.52,84.26,88.26,87.19,86.93,85.15,84.11,9.8,11.8,7.57,6.83,19.83,44.23,83.6,86.57,85.73,86.37,84.63,83.67,11.09,11.52,6.85,5.39,12.7,40.09,82.67,88.45,87.09,86.82,86.39,82.61,11.81,11.89,7.83,5.64,13.94,30.97,81.78,87.81,87.03,85.36,83.44,81.06,13.67,11.21,7.69,5.26,12.64,29.74,78.31,88.36,88,88.03,86.33,83.56,7.88,6.55,3.67,1.88,2.38,9.43,60.38,86.79,87.07,87.21,85.43,83,3.76,3.69,2.2,0.84,1.51,7.76,59.89,85.87,86.2,85.89,84.62,82.6,bert,er_nlp,50
92.33,86.33,80.67,83.42,80.8,76.78,75.57,66.83,60.93,59.9,55.03,53.75,54.46,46.95,44.47,-0.71,-56.1,56.1,0.86,21.33,10,19,10,10,24.33,30.67,63.67,73,85.67,76,86.67,5,5.17,5,5,19.17,22.67,33.17,73,81.83,83.5,81.17,72.67,3.33,6.56,3.33,6.67,14.78,15.44,49.78,66.78,71.44,70.22,77.33,67.89,2.58,6.67,2.5,4.08,13.08,25.83,44.5,70.5,75.42,76.08,80.92,70.17,2,6.07,2,5.47,14.93,14.67,42.4,60.27,69.4,73.2,78,70.6,2.67,5.22,3.33,6.89,15,16.22,34.44,49.89,66.61,72.28,75.39,63.06,2.43,4.33,4.52,4.29,16.1,14.67,36,56.71,63,66.19,73.62,60.29,2.67,4.04,3.5,4.04,5.79,9.04,35.88,54.75,60.54,64.29,68.79,58.5,2.19,3.41,4.44,4.44,9.37,8.11,30.22,54.52,54.63,66.33,71.37,45.52,3.43,3.6,3.7,3.8,1.97,14.43,35.33,54.1,48.13,59.1,66.97,52.3,2.76,2.7,3.09,4.27,2.85,12.52,23.12,44.45,46.09,62.3,65.39,55.73,3.47,2.81,2.03,3.14,2.39,14.92,19.86,42.64,44,60.89,58.03,53.61,1.31,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,1.18,4.51,46.38,1.5,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,2.21,42.71,1.4,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,43.13,gpt2,er_nlp,50
97.33,90.5,85.33,85,82.87,78.61,69.14,66.83,60.74,59.73,57.09,52.78,52.03,53.02,51.62,-0.9,-49.76,49.76,0.85,10.33,11.33,13,41.33,59,83.33,95.67,97,97.33,97.67,97.33,97.33,10.17,9.83,8.5,18.33,31.33,58.33,92.5,93.67,93.5,93.83,93.67,93.17,6.67,7,5.67,9,20.22,57.11,89.44,91.44,93.11,92.11,90.78,89.44,2.5,7.08,8.42,11.5,36.08,65.17,90,91.92,92,92.17,91.58,89.33,2,2.93,3.67,5.47,31.53,65.4,90.73,92.13,93.2,92.73,92.73,89.6,1.72,4.06,3.72,5.17,26.78,54.72,90.83,91.33,92.39,91.67,91.72,90.22,1.43,4.05,4.14,5,22.48,47.95,88.48,91.43,91.43,90.24,89.9,85.62,1.25,3.33,3.08,3.38,19,39.21,86.54,92.25,91.08,90.58,89.54,86,1.11,3.11,2.59,3.41,21.81,39.63,86.74,90.59,88.33,87.15,86.78,83.04,1.47,4.37,6,6.17,16.93,34.93,85.07,88.67,87.17,86.3,84.73,81.3,0.97,4.18,4.67,5.39,11.24,32.06,87.55,89.12,87.79,87.15,85.76,80.55,0.92,3.58,3.86,4.39,8.47,27.17,89.42,90.08,88.22,86.58,84.5,80.53,1.82,6.67,5.92,8.26,16.46,38.41,88.67,89.05,87.62,87.08,86.03,79.44,0.71,4.71,4.64,3.67,8.43,41.6,88.02,89.95,87.6,86.55,84.1,79.57,1.09,5.13,5.33,5.09,10.62,48.98,87.13,87.69,86.58,85.13,84.38,79.33,roberta,er_nlp,50
96.67,91.83,80.11,82.83,78.33,74.83,71.57,63.67,59.56,60.33,52.27,50.44,52.18,51.67,48.93,-0.74,-52.12,52.12,1.15,10,10.67,21,85,88.33,93.33,96,92.67,96,95,36.67,96.67,5.5,11.5,15.33,75.17,83.5,87.5,91.5,93.33,94,93,15.17,94.17,3.67,9.44,18,69,78.22,83.22,89.67,92.22,92.33,89.78,3.33,89.22,5,13.17,18.25,69.25,79.58,85.67,90.58,91.25,92,90,2.5,89.5,2,4.13,16.47,68.53,79.87,86.87,90.53,91,92.13,90.6,2.07,88.87,1.67,5.89,20.61,70.89,78.89,88.39,90.33,91.39,91.67,90.67,2.33,88.61,1.95,5.29,22.57,69.62,79.38,87.43,90.52,91.9,91.48,89.1,3.24,81.57,1.83,5.54,22.21,70.33,79.75,87.54,90.42,90.38,90.29,86.92,2.5,76.33,1.67,6,29.04,68.07,74.33,86.04,89.26,89,89.67,87,1.11,74.22,1.57,10.3,36.03,69.6,75.73,84.47,87.53,89.1,89.27,87.53,1,78.7,1.67,9.64,38.7,69.55,78,85.24,88.12,89.24,89.52,86.61,0.91,81.55,1.5,9.75,42.28,70.06,79.25,86.42,88.56,90.14,89.81,87.03,1.53,80.03,2.49,12.56,40.18,72.59,79.33,86.44,88.85,90.05,90.13,88.05,1.54,79.95,0.76,5.62,42.24,74.5,80.36,87.71,88.95,88.64,88.55,86.29,0.76,76.14,1.29,9.62,42,75.44,81.27,87.2,88.76,88.04,88.53,85.64,0.67,76.51,xlnet,er_nlp,50
92.33,92,83.89,82.67,74.93,68.06,69.76,63.83,62.7,60.2,56.85,53.39,53.15,48.19,46.04,-0.6,-53.71,53.71,0.84,20,26.67,11.33,12.67,17,28.33,44.33,62.33,64.33,49.33,89.33,92.33,12.67,20.17,11.17,11.67,12.67,19.83,35.17,54.17,70.33,49.17,89.83,93.33,9.22,20.11,9.44,9.33,10.89,16.78,29.67,44,51.11,57.89,87.78,90,11.33,23.58,10.83,10.5,12,16.75,28.33,41.58,50.33,63.25,87.92,89.42,11.2,13.93,4.8,4.87,6.33,9.93,18,33.67,40.47,56.93,85.87,87.13,10.67,12.78,4.28,4.28,5.94,8.61,15.44,29.33,18.5,56.94,84.22,84.61,10.95,12.29,4.76,4.9,6.24,8.57,17,30.76,25.57,62.48,83.81,86.14,10.46,12.17,5.42,5.46,6.42,8.79,16.62,28.29,26.29,67.62,83.62,82.58,10.41,10.93,4.89,5.48,6.48,9.22,15.59,26.89,23.85,61.3,82,83.19,10.47,11.37,5.87,5.33,6.43,9.47,15.33,29.33,18.17,57.07,79.43,80.33,10.42,9.58,5.18,4.85,5.36,7.88,12.52,24.18,14.97,61.27,80.52,79.91,7.14,9.92,5.06,4.58,5.14,7.92,11.25,20.31,30.36,61.69,76.42,77.44,6.46,8.56,3.13,3.26,4.26,6.82,10.69,17.85,24.15,61.13,75.08,75.51,7.1,6.98,3.19,3,3.4,5.29,8.19,15.81,27.79,61.21,75.83,76.45,4.96,6.22,3.02,2.89,3.29,4.24,6.76,11.44,30.11,63.51,74.91,75.58,albert,er_nlp,100
97.33,92.33,86.44,89.17,86.33,80.22,78.05,74,72.7,70.77,71.39,66.14,69.26,63.36,65.58,-0.86,-34.38,34.38,0.87,25.33,41.33,33,15.33,61,88.33,94.33,96.67,95.33,96.33,95.33,96.67,21.83,34,26.83,16,55,81.83,91.17,94.33,95.17,95,95,94.17,18.89,29.33,19.89,16.67,56.89,77.44,88.22,92.11,92,90.67,91.11,89.44,18.25,20.25,12.58,13.33,56.17,76,88,92.08,92.5,92.33,92.33,92.08,13.2,18.67,7.53,7.67,52.2,74.8,88.07,92.33,92.67,92.73,92.2,91.6,11.28,18.17,8.61,12,42.78,67.5,88.67,92.39,92.67,92.17,91.39,90.17,10.76,14.76,8,7.1,41.43,63.76,88.81,92.86,92.14,92.1,91.1,90.62,12.58,15.04,7.75,6.42,42.54,64.46,88.88,92.71,92.12,92.33,90.96,89.83,16.48,16.96,9.52,5.74,36,64.04,89.33,92,90.7,91,90,89.07,11.23,15.67,10.07,8.1,28.43,60.27,87.47,90.47,89.87,89.67,88.7,87.37,13.55,14,9.21,6.79,12.97,48.12,87.15,90.97,91.12,91.09,90.21,88.85,14,13.11,9.31,7.08,14.67,45.83,86.06,90.33,89.97,90.08,88.69,87.42,14.74,13.28,8.59,6.51,17.85,49.59,85.36,89.44,90,90.26,88.97,87.87,5.31,13.57,7,3.9,10.36,43.79,85.43,89.05,89.17,89.81,88.6,87.1,4.31,7.58,4.09,2.42,3.24,34.56,86.07,88.89,88.87,88.73,88.02,86.18,bert,er_nlp,100
93,90.67,84.33,86.08,85.6,80.61,82.33,76.46,75.78,73.43,69.73,68.56,68.26,66.07,63.13,-0.71,-36.12,36.12,0.85,12,10.33,18.33,10,15.33,32.67,49.33,34.67,67.67,85.33,75.67,86.67,7.33,6,5,5,21.5,28.33,32.83,48.17,74.33,85,81.33,75,5.22,6.67,3.33,3.33,6.89,24.33,38.89,65.33,72.44,74.78,78.56,71.89,2.5,5,2.5,5,7.17,24.17,36.67,74.42,76.33,76.08,79.17,72.33,2.67,2.93,2,6.87,3.27,23.4,38.33,68.53,70.87,76.2,79.13,73.33,4.33,3,1.67,1.67,5.11,6.22,43.89,70.89,66.72,73.78,77.56,55.17,4.1,2.81,1.43,2.81,2.43,6.9,47.1,69.52,69.62,72.57,78.48,60.19,4.46,2.25,1.25,1.25,2.92,13.88,39.62,58.58,66.08,74.88,77.67,58.92,4.3,2.81,2.11,1.15,2.44,16.74,43.59,60.44,63.67,75.56,76.44,48.04,2.3,1.17,1.73,1.13,1.53,19.33,39.13,52.3,61.4,73,75.03,56.4,2.67,1.06,1.58,0.91,6.06,17.21,40.58,47.03,63.3,73.27,70.82,59.36,1.72,0.83,3.11,4.11,6.06,17.17,42.44,35.36,43.44,72.28,72.97,61.61,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,1.44,3.59,56.69,1.31,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,1.43,3.81,49.98,1.11,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,42.36,gpt2,er_nlp,100
98,94.17,90.56,92,87.4,81.44,80.81,78.29,78.44,76.23,75.39,73.08,72.56,71.43,71.89,-0.9,-27.48,27.48,0.85,10.33,12,13.67,53.67,59.67,74,96,96,98,98,98,98,10,10.67,10.5,22,38.17,53.67,93.5,94.67,94.83,95.33,95.5,95.33,6.67,5.78,6.33,13.89,30.33,57.44,90.44,92.78,92.33,93.56,93.56,93.44,2.5,8.42,9.42,11.92,35.42,53.33,91,93.33,93.5,94.42,93.83,93.75,2,3,3.8,4.4,32.87,50.73,91,92.53,93.13,94.07,93.93,93.33,1.67,4.89,4.33,4.06,15.61,35.56,92.06,92.94,93.5,93.17,93.33,92.56,1.43,4.24,4.1,3.14,13.86,47.67,91.86,92.57,92.86,92.48,92.76,90.33,1.25,3.5,3.79,3.29,16.33,35.75,90.79,92.75,93.17,92.17,91.38,89.71,1.11,3.26,3.81,3.67,32.81,46.19,91.59,92.67,91.33,90.78,90.56,87.67,1.03,5.07,5.9,7.8,18.57,42.1,91.1,92.7,91.8,91.83,91.17,89.27,0.91,4.24,4.7,7.09,17.3,39.61,91,92.88,92.3,90.45,90.39,88.39,0.83,4.19,3.92,5.58,12.22,38.19,89.31,91.31,90.92,89.36,89.31,87.5,1.49,6.95,6.92,10.1,20.31,31.08,89.05,91.64,90.49,90.44,89.64,86.92,0.71,2.9,2.05,1.76,10.5,20.6,88.52,91.07,90,88.36,87.57,85.29,0.73,4.82,3.56,3.24,4.56,16.47,86.91,89.73,89.87,88.27,87.96,85.73,roberta,er_nlp,100
96,91.17,86.11,89.5,89.07,79.72,78.1,74.58,75.67,71.5,64.03,64.39,61.9,61.48,62.82,-0.74,-36.93,36.93,1.16,10,10.33,19,83.67,89.33,96.33,96,94,95.33,95,10,96,7.5,11.83,16,71.83,84.67,89.5,92,93.83,94.17,93.33,5,93.17,5.89,8.44,15,66.11,75.33,84.33,89.33,91.44,91.33,86.56,3.33,89.11,6,13.08,18.33,70.17,80.17,86.33,90.42,91.42,92.33,88.5,2.5,91.67,2,5.4,19.47,69.07,81.4,87.73,90.73,91.4,93.67,91.07,4,92.13,1.67,7.17,24.33,71.78,82.89,89.06,90.33,91.11,92.67,90.94,1.78,90.33,2.62,6.71,25.19,68.71,80.67,89.48,90.76,91.14,92,88.24,1.43,87.57,2.46,6.46,27.75,72.29,82,89.38,91.29,90.58,91.33,88.12,1.25,81.29,2.22,6.3,33.74,69.44,78.44,88.33,90.15,90.63,91.19,88.7,1.78,88.11,2.63,8.8,35.87,70.27,79.53,86.53,89.27,90.37,90.73,89.47,2,87.07,2.45,9.24,40.03,72.48,81,87.27,89.42,89.27,89.76,87.85,1.73,83.58,2.56,12.31,43.03,72.42,81.36,88.25,89.81,89.53,89.69,87.64,2.47,81.44,1.03,15.49,45.31,75.46,81,87.77,89.21,88.97,89.85,87.13,1.64,81.41,0.81,8.79,43.62,75.48,82.07,88.43,89.43,89.05,89.4,86.1,3.5,79.45,0.8,13.38,43.93,75,81.36,87.38,88.98,88.24,89,85.44,4.47,83.16,xlnet,er_nlp,100
