task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,PLM,Method,buffer_size
95.33,92.33,82.67,83.08,80.4,74.61,71.52,65.46,59.89,58.07,56.88,56.69,54.64,51.6,46.69,0.45,-53.14,53.14,0.84,19.33,44.67,16.67,14.67,20,36,54.67,67.33,88.33,90.33,95,95,29.83,42,69.33,63.83,81,92,92.33,93.5,92.33,93.17,95,95,32.78,42.33,71.89,62.11,67.56,85.11,88.33,89,86,91.56,93.56,93.44,28.92,37.42,68.5,60.75,72.17,84.08,83.58,83.83,86.58,91.33,92.67,92.75,31.67,30.67,67.07,57.53,65.53,80.27,83.07,84.6,88.27,90.13,91.6,91.87,33.39,37.5,69.06,53.61,61.83,75.5,80.11,84.94,85.28,87.72,90.5,90.78,38.67,40.86,72.33,62.71,70.38,80.24,83.95,86.14,83.9,86.14,89.52,90.67,39.58,41.25,64.88,61.83,68.04,78.54,82.25,84.62,83.5,85.75,87.08,89.25,38.48,40.93,67.22,60.74,61.67,76.37,82.7,84.52,83.19,82.07,83.89,85.67,38.47,41.97,63.6,61.3,67.23,78.17,83.27,84.83,83.97,83.07,86.33,86.63,36.58,39.94,56.67,61,62.42,73.18,82.36,84.33,85.27,86.3,87.12,87.58,35.86,32.67,51.47,59.22,65.53,75.25,82.56,85.17,85.67,87.64,87.53,87.39,41.85,37,51.92,59.54,64.72,71.49,78.18,83.74,83.15,84.08,85.36,86.49,40.24,33.64,53.21,54.17,62.43,70.95,80.6,82.76,81.5,84.52,84.62,84.93,39.22,34.76,48.62,59.49,66.47,76.42,82.4,84.64,83.18,82.98,83.64,83.29,albert,er_nlp,50
96.67,92,89.22,92.17,91.53,90.06,85.05,80.5,76.33,77.8,74.97,72.22,77.85,74.4,71.09,0.71,-28.43,28.43,0.98,28.67,41,25.67,15,58,83.33,95.33,96.67,96,96.67,96,97.33,24.17,36.83,21.33,14.67,56.33,83.5,96.5,97,96.83,97,97,96.67,31.56,40.22,29.67,24.33,74,90.33,96.33,97,96.78,96.67,96,95.56,27.42,29.08,24.75,20.58,67.42,84,94.67,96.25,96.58,96.25,96.17,96.08,24.4,26.8,20.07,16.87,57.27,70.93,93.33,95.4,96.13,96.2,95.93,96.33,23.56,31.17,21.17,18.39,50,69.28,93.67,95.78,96.56,96.56,96.06,96.17,22.71,27.1,19.05,17.24,53.62,70.33,93.43,96.14,96.38,96.05,95.57,95.57,23.54,28.96,21.25,17.79,55.42,74.33,93.88,95.83,96.04,96.04,95.46,95.5,28.15,31.04,26.67,20.19,43.33,68.59,92.89,95.63,95.15,95.26,94.41,94.19,28.53,31.1,25.57,21.43,45.3,71.07,94.07,95.3,95.07,95.17,94.73,94,32.52,29.97,23.67,20.18,36.12,66.79,93.09,95.39,95.24,95.27,94.85,94.15,32.33,29.53,24.94,20.5,38.25,59.28,92.89,95.39,95.72,95.25,94.17,92.89,33.72,29.67,24.87,20.46,36.05,59.13,91.62,95.87,96.18,96.13,95.62,94.72,32.95,26.86,23.79,17.9,20.74,37,84.21,95.26,95.81,95.69,95.31,94.76,31.82,27.69,23.8,17.84,29.42,45.42,86.24,94.16,95.02,95.02,94.69,94.27,bert,er_nlp,50
92.33,91.67,91.78,91.5,88.67,89.28,87.24,82.88,81.41,78.07,74.24,73.5,72.87,68.45,63.73,-0.98,-35.64,35.64,0.86,21.33,10,19,10,10,24.33,30.67,63.67,73,85.67,76,86.67,18.33,10,10,12,20.67,39.17,44.17,78.33,88.33,91.17,88.5,83.17,19.89,10,10,16.56,27.89,22.22,56.33,84.67,89.11,87.56,89.44,84.89,18.08,12.5,14.33,16.42,27.83,37,60.42,85.5,90.42,87.5,89.75,85.17,16.67,10.47,12.87,19.67,30.67,33.93,56.33,79.07,85.13,86.13,87.87,85.67,14.39,10.11,11.28,21.06,26.94,38.72,47.56,71.11,85.17,84.5,84.61,84,13.29,10.05,11.1,21.95,25.95,35.38,52.48,76.81,79.52,82.81,86.95,80.38,12.62,12.08,12.88,23.71,18.75,34.38,53.04,76.12,79.79,81.67,84.42,81.33,12.41,11.11,12.15,20.78,20.37,40.33,56.15,78.07,79.41,84.11,86.04,80.7,13.57,13.83,13.03,14.8,27.73,43.67,58.8,78.37,76.37,82.3,85.27,80.83,14.58,15.52,13.55,16.27,26.67,40.94,59.09,68.94,76.67,83,84.27,83.24,14,16.28,12.81,18.83,30.14,41.67,54.11,71.39,74.08,83.36,83.56,83.72,14.77,15.64,14.38,25.44,26.77,39.33,48.9,59.69,67.95,74.59,77.03,80.13,14.19,16.69,14.31,20.07,23.81,32.07,51.07,61.05,68.14,75.17,75.6,82.33,14.4,16.76,12.84,21.16,24.07,34,51.73,59.89,63.6,70.36,70.87,79.87,gpt2,er_nlp,50
97.33,92.5,92.56,90.58,91.67,89.56,86.52,84.25,80.3,74.43,73.55,74.64,74.44,73.17,70.98,-1.98,-29.07,29.07,0.85,10.33,11.33,13,41.33,59,83.33,95.67,97,97.33,97.67,97.33,97.33,10.17,17.17,13.5,31.83,56.5,76.33,95.33,95.67,95.83,96.67,97.17,97.17,10.11,24.89,19,26.11,49.89,79.11,95.44,95.56,96.33,96.89,96.89,97.22,10.08,23.58,19.92,29.42,63.25,81.25,95.17,95.42,96,96.75,96.58,96.83,10,20.73,17.67,20.8,62.73,81.47,95.27,95.67,96.47,96.6,96.4,96.53,10.94,19.67,17.33,20.94,54.94,76.94,95.5,96.39,96.72,96.89,96.67,96.5,10.67,20.71,16.86,18.76,53.33,73.62,93.48,96.05,96.38,96.48,96.38,95.76,11.33,20.08,16.33,19.12,46.88,64.04,92.42,96.38,96.33,96.38,95.83,95.12,11.56,18.93,16.48,18.96,48.74,65.89,92.93,95.93,95.22,95.04,94.96,93.74,13.87,21.87,20.67,23.1,44.87,64.97,92.77,94.97,94.67,94.37,95,94.03,13.52,23.18,21.27,24.3,40.06,67.67,93.79,95.7,95.3,94.91,94.97,93.45,13.11,24.36,22.17,24.36,36.86,66.33,94.94,95.75,96,95.36,95.22,94.42,13.64,27.9,25.21,27.74,46,72.51,94.77,95.31,95.13,95.44,95.08,93,13.43,28.9,25.74,26.31,46.29,75.48,94.64,95.48,95.64,94.95,94.95,92.9,13.11,28.16,27.07,30.33,51.44,79.89,94.51,94.69,94.93,94.62,94.33,93.18,roberta,er_nlp,50
96.67,96.83,95.44,91.42,90.93,90.06,87.95,83.75,82.93,80.23,78.76,75.33,76.59,76.07,74.4,1.24,-24.9,24.9,1.15,10,10.67,21,85,88.33,93.33,96,92.67,96,95,36.67,96.67,11.33,12.67,20,87.67,92,94.83,97.5,96.33,97.5,97.33,25.17,96.83,12.89,14.89,35.33,84.78,90.89,95.22,96.56,96.78,97.22,96,19.78,97,12.08,17.25,31.67,82.5,91.25,95.33,96.25,95.58,96.42,94.83,12.5,95.83,11.33,16.4,30.53,79.53,88.93,94.6,96.07,94.87,95.73,95.47,13.47,95.4,12.56,16.17,38.17,84.67,90.33,95.28,95.94,95.17,95.94,95.33,15.44,95.5,12.76,14.52,39.14,82.52,88.9,94.1,95.62,95.71,95.81,95.1,16.57,92.52,12.92,16.04,38.92,84.08,90.33,94.67,95.83,95.33,95.38,94.17,17.29,91.46,14.67,20.15,45.85,83.81,89.3,94.59,95.89,94.41,95.33,93.63,17.74,89.7,14.83,23.43,52.9,84.9,90.37,95.27,96.27,95.57,95.97,94.83,22.47,93.43,14.33,26.39,55.64,83.61,90.06,94.91,95.79,95.79,96.09,95.03,15.33,93.67,14.94,28.94,57.64,83.58,91.53,95.25,96.03,96.11,96.28,95.28,21.94,93.42,15.18,30.33,60.15,85.54,92.36,95.62,96.49,96.15,96.59,95.9,24.85,92.69,14.36,29.07,62.43,86.62,92.38,95.55,96.33,95.86,96.14,94.74,22.71,92.83,14.36,34.64,65.51,87.58,92.93,95.44,96.04,95.47,95.78,94,21.13,94.07,xlnet,er_nlp,50
92.33,94.33,91.89,89.83,85.8,78.44,80.48,75.54,75.63,73.83,71.52,69.06,68.49,64.88,63.64,-0.07,-34.95,34.95,0.84,20,26.67,11.33,12.67,17,28.33,44.33,62.33,64.33,49.33,89.33,92.33,19.17,24.5,11.67,12.83,15,24.33,43,63.17,81.33,65,93.17,95.5,22.67,36.67,20.33,19.33,21.22,32.67,50.89,69.67,74.67,80.11,94.89,96.67,21.67,35.75,19.17,19.42,21.08,30,45.17,62.67,76.33,86.33,93,94.25,22.13,31.47,18.4,18.47,20.8,27.73,40.8,56.33,67.47,79.27,92.33,93.4,22.17,30.89,16.83,17.78,20,27.67,39.94,53.67,56.89,78.89,92.39,93.78,22.62,29.43,16.76,17.48,19.67,26.19,39.19,55.14,58.19,81.48,91.71,93.62,24.12,32.92,18.04,19.12,21.38,29.42,42.88,57.67,64.29,83.12,92.5,92.96,25.48,32.11,17.96,19.33,21.67,29.37,43.52,56.78,56.7,78.63,90.48,91.74,28.27,33.33,18.23,19.13,22.17,30,43.7,57.43,60.03,81.1,90.43,91,26.73,32.88,18.3,20.45,23.64,29.97,41.52,56.27,55.15,81.06,90.24,91.36,29.5,34.81,19.31,20.67,23.28,30.89,41.67,54.67,63.83,81.33,89.31,91.17,28.38,35.05,18.51,18.41,21.87,28.51,38,51.77,61,82.28,89.15,90.92,32.33,35.83,18.6,18.43,20.93,26.4,35.31,50.26,60.24,83.98,90.1,91.33,29.78,32.29,19.82,18.62,21.07,26.16,35.49,48.13,64.27,82.29,89.4,89.98,albert,er_nlp,100
97.33,96.17,93.11,94.25,93.07,91.56,92.05,90.5,89.41,88.67,88.91,87.17,88,82.67,82.11,-0.48,-16.81,16.88,0.87,25.33,41.33,33,15.33,61,88.33,94.33,96.67,95.33,96.33,95.33,96.67,22.67,41,28.67,17.5,68,90.67,96.5,96.83,97.33,97.67,97.33,97.5,31.33,45.89,37.33,31.56,83.44,93.33,96,96.56,96.89,96.33,96.67,96.78,28.58,36.33,29.42,25.17,76.42,88.5,94.75,95.92,96.17,96,96.17,96.25,24.13,34.8,26.8,21.53,73,87.07,94.07,96.07,96.07,96.07,96.27,95.87,23.44,36.44,28.11,25.67,64.17,83.11,94.22,96.22,96.44,96.56,96.61,96.61,22.52,30.48,24.81,19.76,63.71,79.71,94.38,96.57,96.38,96.24,96.33,96.38,23.12,29.54,23.83,18.08,63.54,79.62,94.79,96.54,96.5,96.46,95.92,95.58,29.26,36.11,30.59,22.11,59.22,80.89,95.41,95.89,95.63,95.59,95.48,95.3,30.3,37.27,30.67,24.2,54.13,82.3,95.27,95.83,95.33,95.37,95.2,94.63,35.76,35.12,27.97,23.15,38.03,75.42,95.52,96.12,96.06,96.18,96.06,95.61,35.58,33.64,28.17,23.81,41.36,75.67,95.33,96.17,95.94,95.75,95.53,94.67,35.1,33.33,27.79,22.85,48.31,78.44,95.28,96.1,96.49,96.51,96.33,95.64,31.29,33.48,28.21,23.19,36.86,76.62,95.17,95.98,95.98,96,95.93,95.33,32.64,33.38,28.56,22.53,32.51,75.51,95.22,95.76,96,95.98,95.8,95.2,bert,er_nlp,100
93,94,93.44,93.33,90.87,90.67,89.62,87.83,87.37,85.9,81.76,82.81,82.21,81.4,79.24,0.07,-19,19,0.85,12,10.33,18.33,10,15.33,32.67,49.33,34.67,67.67,85.33,75.67,86.67,16.83,10.5,10,10.17,25,37.33,39.67,64.5,81.83,92.33,90.83,85.17,19.67,10,13.11,12.67,23.56,28.67,54.22,81.89,87.22,88.22,92,86.89,18.5,13.17,16.42,17.75,22.67,31.83,57.75,88.5,86.83,86.25,90.17,83,17.67,14.47,15.53,19.4,20.07,28,50.93,81,79.87,84.6,88,84.13,18.06,13.28,12.44,14.5,16.83,30.94,57.33,81.61,78.06,82.17,88.5,82.17,16,12.71,15.38,14.71,22.95,31.57,62.43,78.81,81.05,83,88.86,82.43,16.21,13.17,13.38,18.42,21.17,36.67,61.88,78.08,80.92,85.33,89.58,83.17,14.7,13.11,12.56,15.67,20.85,37.19,62.19,76.22,81.93,85.11,88.44,79.7,16,12.87,13.37,15.27,24.9,42.03,66.43,76.6,82.97,85.83,88.57,81.6,16.52,13.85,12.15,17,24.97,42.82,67.18,72.24,81.3,84.67,86.39,83.55,15.17,15.86,11.61,24.03,24.97,47.31,69.97,72.58,82.94,85.19,88.56,83.67,15.49,15.15,12.74,22.08,23.54,40.92,62.72,70.72,78.36,80.23,82.56,82.18,14.24,17.5,14.02,21.26,21.43,42.45,61.9,71.98,78.02,80.24,82.5,82.24,14.76,15.18,14.2,23.6,22.58,42.51,56.4,66.18,71.24,74.42,75.84,79.67,gpt2,er_nlp,100
98,96,96,95.08,94.53,92.11,92.1,89.46,89.93,88.63,89,86.72,85.77,85.57,85.13,-2.17,-13.38,13.48,0.85,10.33,12,13.67,53.67,59.67,74,96,96,98,98,98,98,10.17,20.17,16.17,37.17,55.67,69.83,95,95.83,96.5,97.67,97.33,96.5,10.33,22.44,17.44,30.22,57.78,77.56,94.44,95.56,95.89,97.22,96.89,96.56,10.08,23.92,20.83,28.75,58.33,76.17,93.83,95.5,95.67,96.67,96.5,96.17,10,20.53,18.73,23.27,53.4,71.93,95.13,95.53,95.87,96.93,96.33,96.13,10.78,18.94,17.78,21.94,46.33,68,94.83,96.11,96.22,96.61,96.33,96.22,10.48,18.81,17.05,19.67,46.76,76.29,95,96.43,96,96,96.29,95.9,11.38,22.67,19.54,21.17,48,65.62,95.08,96.5,96.08,96.04,95.88,95.21,11.74,20,19.63,22.81,58.63,71.3,95.96,97.07,96.3,96.07,96.22,95.44,13.57,22.7,21.4,28.1,55,73.8,95.87,97,96.77,96.57,96.7,96.27,13.42,24.09,21.91,25.58,50.48,72.7,96.12,96.94,97,96.7,96.76,96.06,13.25,23.72,22.44,24.92,42.56,72.42,95.5,96.31,96.56,96.03,96.36,95.75,13.77,26,25.21,28.79,55.08,68.38,95.03,96.56,96.79,96.56,96.56,95.64,12.36,24.24,23.55,23.64,46.24,62.79,95.07,96.1,96.31,96.12,96.38,95.74,13.11,26.89,23.87,22.67,29.62,55.69,94.29,95.62,96.16,96.18,96.16,95.69,roberta,er_nlp,100
96,97,95.67,95.92,95.53,92.61,90.52,91.29,91.33,86.87,83.76,82.06,79.97,80.02,80.04,-0.19,-18.64,18.71,1.16,10,10.33,19,83.67,89.33,96.33,96,94,95.33,95,10,96,10.5,13.33,18.33,86.33,93.17,95.33,97,95.83,97.33,96.67,16.67,96.83,11.67,16.11,29.67,84.22,90.89,95.56,96,96.22,97.11,95.78,16.89,96.44,11.17,18.33,31.08,82,90.75,94.58,96.17,94.58,96.5,94.67,20.17,96.67,10.33,17.2,34.6,79.93,90.8,95.2,96.6,95.07,97.27,95.8,21,96.6,12.17,17.06,42.5,83.72,91.33,95.61,95.83,94.89,96.22,95.22,21.22,96.17,11.57,15.95,42.24,81.62,90.05,94.86,95.9,95.14,95.67,94.81,19.05,96.05,12.83,18.46,44.67,84.5,91.04,95.33,96.33,95.25,96.04,94.83,21,94.25,13.96,22.37,50.48,83.44,90.07,95.3,95.85,95.78,96.07,95.15,16.26,95.04,15.5,22.4,51.7,84.13,91.5,95.27,96.1,95.93,96.27,95.8,16.5,96.1,15.27,27.3,56.24,85.52,91.94,95.09,96.3,95.45,96.03,95.64,23.21,94.58,15.75,34.06,60.28,84.78,91.78,95.5,96.47,96.31,96.36,95.31,23.78,94.75,15.26,36.44,63.82,87.15,92.44,95.67,96.62,96.21,96.82,95.33,17.92,93.46,14.31,35.05,63.83,87.29,92.36,95.83,96.29,96.43,96.45,94.9,22.9,94,14.42,37.44,64.76,87.2,92,95.8,96.31,95.78,96.18,94.69,27.47,94.51,xlnet,er_nlp,100
