,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
0,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,seed,area,ptm,prob_l,prob_type,prob_all_tasks,info,eval_freq,require_proto,fix_layers,fix_layers_n,feature_layers,feature_layers_n,dataset,filter_rate,model,lr,lr_scheduler,batch_size,n_epochs,freq_eval,use_gpu,pltf,auto_layer,auto_feature,auto_current_task,,
1,98.0,53.17,32.44,30.33,26.67,20.17,22.9,17.0,14.78,16.2,11.3,11.72,13.79,11.29,11.22,-0.83,-92.74,92.74,0.71,10.0,11.33,19.0,23.67,29.0,41.67,96.0,96.67,97.0,97.67,98.0,97.67,5.0,6.17,6.67,6.67,15.0,37.33,85.67,88.0,90.17,89.83,88.5,74.33,3.33,5.56,7.0,7.56,8.33,29.22,69.56,81.89,82.33,78.67,79.44,63.89,2.58,6.08,6.75,7.17,11.75,36.08,70.25,76.92,75.58,74.33,74.92,60.25,2.07,4.67,6.53,7.0,12.93,31.73,73.27,74.2,74.8,77.6,74.87,59.67,1.67,4.89,4.94,6.28,14.11,31.78,70.06,73.56,71.72,66.78,61.22,55.5,1.43,4.71,4.9,7.14,18.29,33.1,69.24,73.57,75.14,71.95,69.29,58.9,1.29,5.5,6.33,8.29,18.75,27.67,64.04,67.83,66.21,63.42,58.71,49.17,1.11,4.59,5.26,8.7,20.52,35.44,66.3,69.59,69.41,68.74,64.52,56.89,1.23,3.03,4.73,10.1,27.9,33.27,65.9,65.9,68.87,66.53,64.23,51.3,1.27,3.18,4.73,6.85,20.18,27.76,64.15,69.12,69.55,68.55,64.67,44.15,1.03,3.61,3.92,6.11,21.5,31.64,62.39,67.11,68.89,65.28,63.67,45.56,1.1,3.74,4.05,5.56,17.56,30.59,65.49,66.82,67.92,64.33,63.21,58.95,1.14,3.07,3.45,5.05,14.74,26.21,65.6,68.07,67.62,64.57,63.31,48.36,0.67,3.87,3.58,6.36,14.38,28.91,64.36,65.98,70.8,67.33,64.18,52.02,0,NLP,roberta,-1,inst,True,e412_inst_roberta_vnla,1,False,none,8,[11],-1,seq-clinc150,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,m,False,False,False,,
2,95.0,49.5,35.44,33.5,28.6,17.56,24.62,19.29,17.96,18.93,14.55,13.86,14.1,10.4,14.64,-0.86,-88.71,88.71,0.96,15.0,22.33,18.0,14.33,25.67,38.67,67.33,86.67,85.33,86.67,87.33,87.33,10.83,16.67,11.5,15.33,31.67,42.83,75.83,83.67,86.67,84.0,83.5,84.67,16.67,9.56,8.0,13.44,27.56,35.44,63.89,74.11,74.33,74.11,73.89,74.67,13.67,17.33,16.42,20.25,40.33,59.25,70.58,73.25,74.67,71.58,71.5,69.58,12.53,16.27,14.8,16.6,32.6,53.6,68.13,77.0,78.53,75.13,72.73,70.47,10.72,10.83,7.89,12.72,32.78,48.06,66.61,75.5,75.39,72.72,65.28,66.83,10.76,14.24,11.0,14.1,36.76,45.57,62.86,69.95,75.48,76.43,70.81,74.24,11.71,15.62,11.46,13.38,30.5,42.5,61.92,71.46,75.29,75.12,70.54,70.12,3.81,17.37,10.0,10.56,41.52,49.85,61.78,68.41,71.41,70.37,67.7,67.48,4.0,7.87,2.6,5.73,37.43,42.37,59.4,68.97,71.27,70.23,68.07,67.33,3.61,4.09,2.21,6.24,38.97,44.79,58.12,65.45,66.79,66.45,62.91,61.79,4.14,3.67,1.78,4.31,30.67,41.39,59.67,68.78,69.89,67.78,60.83,63.11,4.74,6.95,2.62,3.23,24.97,43.67,60.31,69.92,68.28,65.31,59.0,60.97,4.17,6.6,2.52,8.57,25.48,46.86,61.05,68.48,67.62,64.4,60.07,59.93,4.96,5.89,2.47,5.64,18.18,41.18,61.76,66.53,66.71,65.51,61.67,62.96,0,NLP,bert,-1,inst,True,e412_inst_bert_vnla,1,False,none,8,[11],-1,seq-clinc150,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,m,False,False,False,,
3,98.0,53.5,32.67,30.92,24.0,18.94,20.05,16.67,17.44,15.13,12.45,11.61,11.38,11.55,11.09,-0.83,-93.0,93.0,0.95,10.0,10.0,20.67,27.0,26.0,50.67,95.33,97.0,97.0,97.0,98.0,97.67,5.0,5.67,11.0,10.0,12.67,30.33,82.17,86.67,85.83,86.67,85.17,80.33,3.33,7.22,9.22,13.56,11.11,24.11,76.89,74.56,77.33,74.67,76.56,55.44,2.58,9.33,9.33,12.17,17.58,26.5,69.67,73.58,74.33,74.42,71.67,50.33,2.0,6.6,7.33,8.07,15.8,27.0,66.93,74.2,71.6,72.27,69.2,44.67,1.67,2.0,3.72,5.22,10.56,25.61,66.67,68.78,72.72,68.94,63.06,57.44,1.43,2.05,4.38,4.43,13.57,23.57,69.76,73.24,73.86,72.43,71.62,56.29,1.25,1.58,2.79,2.96,15.21,30.62,64.04,70.54,68.67,70.0,66.46,48.67,1.11,2.15,3.07,4.07,14.59,27.56,69.59,70.26,72.37,71.19,69.59,56.37,1.17,3.07,2.97,4.23,11.6,26.7,66.9,70.73,70.83,66.87,67.27,55.63,1.06,2.55,2.91,4.06,16.73,29.91,65.48,67.88,67.24,62.61,60.67,43.15,0.97,3.56,3.33,3.36,15.97,33.36,68.33,71.97,69.08,64.5,63.31,36.0,0.95,2.74,3.77,3.44,16.23,27.54,68.62,72.21,69.92,68.26,65.56,56.31,0.93,2.6,3.31,2.43,9.38,30.26,66.19,70.29,70.88,67.52,65.0,51.83,0.67,4.31,3.84,3.33,10.27,27.89,64.07,70.33,71.27,66.84,64.47,57.09,0,NLP,roberta,-1,inst,True,e412_inst_roberta_vnla,1,False,none,8,[11],-1,seq-clinc150,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,m,False,False,False,,
4,93.67,47.5,32.56,22.92,20.53,15.67,13.57,12.04,11.19,9.83,9.0,7.94,7.33,6.64,6.73,-0.45,-95.02,95.02,0.97,17.33,25.33,26.0,28.0,30.33,62.33,69.0,81.33,78.33,78.0,79.33,82.33,9.17,17.17,20.17,16.17,9.33,16.33,27.0,43.67,58.67,66.5,66.33,63.0,13.0,18.89,21.0,6.22,4.78,25.56,27.44,31.11,44.22,61.22,59.89,59.0,12.25,20.67,22.0,10.0,6.5,18.42,40.08,57.75,56.67,53.75,54.0,52.5,14.27,19.4,15.47,10.4,14.4,18.07,43.6,55.53,51.13,50.73,49.93,48.53,10.72,14.61,22.67,18.22,17.06,25.94,30.11,39.22,44.33,49.61,48.5,48.89,12.67,10.43,23.14,14.0,20.52,17.57,27.76,36.43,35.76,33.71,35.48,34.62,10.25,6.83,19.58,11.83,18.0,15.92,28.83,35.92,35.46,36.58,34.79,34.08,10.85,4.81,17.78,8.67,16.96,25.41,23.85,30.93,41.0,41.78,40.63,38.44,7.6,3.57,10.7,11.73,11.13,10.23,18.87,18.33,27.27,33.2,32.43,30.93,10.45,5.24,15.33,15.76,18.52,14.76,17.36,17.82,13.67,28.39,30.67,27.88,9.94,3.56,15.17,16.06,13.08,16.56,21.86,24.83,29.81,38.75,38.19,36.03,13.15,3.56,15.38,13.79,15.87,15.05,31.51,13.62,26.38,34.41,34.23,31.82,13.81,4.43,10.02,9.12,14.05,14.07,27.57,22.29,26.95,38.4,36.83,35.57,11.58,3.51,8.27,4.07,14.11,12.76,10.91,5.73,13.13,32.82,34.38,31.67,0,NLP,albert,-1,inst,True,e412_inst_albert_vnla,1,False,none,8,[11],-1,seq-clinc150,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,m,False,False,False,,
5,95.0,55.67,34.22,34.08,28.33,19.11,17.57,14.71,14.44,16.07,16.67,13.5,14.97,8.83,10.58,-0.71,-92.67,92.67,1.03,10.0,10.0,10.0,16.0,14.67,10.0,29.33,44.0,80.67,90.33,83.67,16.33,5.0,5.0,5.0,5.0,5.17,5.0,14.0,46.67,56.17,65.0,72.17,5.0,3.33,3.33,3.33,4.33,6.22,3.33,16.56,24.78,38.89,42.56,54.89,3.33,2.5,2.58,3.08,9.42,2.75,3.33,25.58,34.92,48.75,62.33,58.83,4.25,2.0,3.33,2.07,7.87,4.6,7.13,23.6,31.73,33.2,42.87,51.0,2.67,1.67,2.56,3.33,4.0,3.89,1.67,13.56,34.06,44.11,45.61,35.17,1.72,1.43,2.24,1.86,3.43,5.05,5.19,9.29,15.81,32.33,49.33,55.9,1.48,1.25,1.62,1.29,2.96,7.25,7.54,14.25,29.29,19.04,42.58,40.62,1.42,1.41,1.15,2.41,5.78,6.81,5.89,25.81,21.11,30.96,45.67,47.56,1.11,1.67,1.93,2.3,2.33,1.2,7.63,17.47,24.0,39.33,49.6,45.3,1.0,1.61,2.24,0.94,3.12,4.73,10.42,12.0,15.42,28.12,48.0,45.03,1.24,1.06,0.97,0.83,2.25,5.58,5.39,14.06,13.11,29.67,44.44,45.25,1.5,1.49,0.87,2.46,6.41,2.36,8.03,11.54,22.82,28.97,38.03,40.0,1.62,0.83,1.36,3.88,3.36,7.21,11.17,9.69,21.9,34.24,44.05,48.86,0.74,0.84,1.24,1.4,3.2,6.62,8.27,4.22,13.4,32.62,35.84,34.58,1.33,0,NLP,gpt2,-1,inst,True,e412_inst_gpt2_vnla,1,False,none,8,[11],-1,seq-clinc150,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,m,False,False,False,,
0,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,seed,area,ptm,prob_l,prob_type,prob_all_tasks,info,eval_freq,require_proto,fix_layers,fix_layers_n,feature_layers,feature_layers_n,dataset,filter_rate,model,lr,lr_scheduler,batch_size,n_epochs,freq_eval,use_gpu,pltf,buffer_size,minibatch_size,auto_layer,auto_feature,auto_current_task
1,94.0,50.33,32.89,23.58,21.07,16.22,15.71,12.96,11.89,10.57,11.0,9.58,7.54,7.64,7.53,-0.57,-95.67,95.67,0.9,16.33,40.67,16.33,22.0,38.0,53.0,92.67,95.0,94.33,94.33,95.0,95.0,16.67,33.5,16.33,15.5,44.67,60.83,86.83,91.33,90.5,86.0,84.5,85.33,13.0,23.11,10.22,12.22,58.56,73.22,76.33,82.33,77.78,73.89,71.67,72.44,13.42,21.58,10.42,21.0,72.58,79.67,82.58,81.75,79.08,76.17,71.17,70.08,9.07,6.8,8.33,27.13,73.07,82.13,81.93,79.33,74.73,74.0,69.2,70.2,8.17,7.22,10.61,35.39,71.33,79.22,79.17,76.06,71.83,65.89,56.94,57.39,6.05,6.71,6.38,34.95,72.71,75.57,75.43,71.52,65.14,58.95,50.71,51.52,7.17,10.83,10.21,43.62,78.42,75.62,73.67,73.12,71.5,69.92,63.75,66.21,8.81,10.85,12.48,48.07,71.59,72.22,69.7,67.04,66.3,62.85,55.78,56.81,7.17,9.33,10.63,45.13,73.6,73.57,70.5,69.1,68.03,65.73,61.43,60.9,6.7,9.79,9.94,45.03,74.27,76.48,74.82,73.09,69.76,64.48,56.76,56.7,6.86,8.81,12.33,52.97,75.44,75.69,73.14,72.28,70.0,67.42,52.97,59.14,7.36,7.64,10.79,47.54,76.31,79.1,74.0,67.21,64.23,59.82,51.9,53.18,3.21,8.5,11.52,46.52,76.98,80.07,77.62,72.9,67.48,64.0,59.02,59.05,1.47,1.69,5.96,31.98,75.04,76.93,74.73,70.16,68.04,66.07,51.56,60.09,0,NLP,bert,-1,proto,True,e411_seq-clinc150_bert_auto_vanilla_3_200,1,True,none,0,[11],1,seq-clinc150,1,auto_vanilla_3_nlp,1e-05,uniform,32,20,1,True,m,200,32,True,False,False
2,94.0,55.17,34.44,24.0,21.33,18.22,15.14,13.25,15.93,12.27,12.42,11.11,11.67,10.57,11.67,-0.57,-91.43,91.43,0.9,16.33,40.67,16.33,22.0,38.0,53.0,92.67,95.0,94.33,94.33,95.0,95.0,16.83,38.5,18.17,15.83,44.33,47.67,86.17,91.17,94.0,89.5,87.17,87.5,13.0,28.78,13.22,11.22,43.89,53.44,77.33,81.67,80.11,78.11,74.89,74.89,14.0,25.67,10.67,12.92,60.08,70.92,79.33,82.08,81.25,77.5,75.17,75.5,11.13,12.4,5.47,11.0,63.4,78.73,83.87,83.33,80.47,78.27,72.53,74.2,15.06,17.56,6.94,9.5,60.89,80.39,83.94,85.17,82.5,80.5,77.39,75.89,10.95,13.14,7.0,8.14,67.1,81.71,84.71,84.05,81.14,79.05,74.19,74.29,12.58,10.75,6.21,5.75,64.5,80.62,85.92,84.58,81.08,75.46,69.42,69.54,14.7,11.52,6.52,5.78,59.85,77.04,84.59,84.85,82.59,80.04,77.44,77.59,9.17,9.27,6.87,6.37,59.0,76.57,80.5,80.67,78.0,74.57,70.8,70.83,9.94,8.79,6.15,7.03,61.27,76.52,83.15,82.36,79.24,76.94,72.61,73.45,9.56,10.31,6.33,6.61,55.97,78.31,83.08,83.58,81.44,76.97,73.47,74.64,7.54,7.51,5.74,4.18,48.87,75.74,82.15,82.49,80.08,76.03,71.13,71.97,4.52,7.62,2.55,4.31,50.05,77.52,84.71,84.14,82.88,80.79,76.0,75.45,1.78,1.58,0.67,0.78,30.11,72.67,82.49,83.31,82.38,80.78,76.51,76.6,0,NLP,bert,-1,proto,True,e411_seq-clinc150_bert_auto_vanilla_3_200,1,True,none,0,[11],1,seq-clinc150,1,auto_vanilla_3_nlp,1e-05,uniform,32,20,1,True,m,200,32,True,False,False
0,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,seed,area,ptm,prob_l,prob_type,prob_all_tasks,info,eval_freq,fix_layers,fix_layers_n,feature_layers,feature_layers_n,dataset,filter_rate,model,lr,lr_scheduler,batch_size,n_epochs,freq_eval,use_gpu,pltf,buffer_size,minibatch_size,beta,auto_layer,auto_feature,auto_current_task
